label,file_name,number_of_files,ratio_of_files,number_of_files_rare,number_of_files_new,ratio_of_files_new
creditors amounts falling due within one year,"['05457103_2018-08-10' '06757157_2018-08-15' '04578942_2018-09-10'
 '07508665_2018-04-04' '02736280_2018-01-18' '06551042_2017-09-29'
 '06638282_2018-05-10' '08658092_2018-07-10' '01848334_2018-11-19'
 '10796182_2018-11-13' '04192928_2018-10-21' '05477483_2018-08-07'
 '08257555_2018-11-01' '01836313_2018-09-30' '03799358_2018-08-20'
 '09104588_2018-12-28' '05017650_2018-09-13' '02193829_2018-09-21'
 '10281039_2018-04-25' '01557781_2019-01-24' '02480303_2018-09-25'
 '07314921_2018-06-21' 'OC352633_2018-11-07' '03551533_2018-10-07'
 'OC412450_2018-02-19' 'OC342862_2018-10-24' '04848475_2018-10-06'
 'SC503875_2018-05-04' '06646629_2018-07-17' 'OC312612_2018-10-24'
 'SC312228_2018-09-10' '01684721_2018-05-24' '00701225_2018-10-23'
 '00645015_2019-01-03' '05738042_2018-10-12' '01205530_2018-04-04'
 '06800135_2018-11-08' '01581154_2018-07-24' '06516481_2018-05-30'
 '08066742_2018-09-12' '10625857_2018-11-15' '04176450_2018-12-07'
 '01580851_2018-01-29' '02555553_2017-03-20' 'SC211905_2018-05-04'
 '09976915_2018-05-14' '08491028_2018-08-03' '05468650_2017-11-15'
 '07238703_2019-02-05' '07068932_2018-05-31' '01346397_2018-12-14'
 '04155448_2018-11-26' '05983990_2019-02-04' '05219123_2018-08-13'
 '01850583_2018-07-09' '02442769_2017-01-30' '00696473_2018-09-14'
 '06985246_2018-06-06' '03209358_2018-09-28' '04779767_2018-09-24'
 '11060238_2019-02-07' '02641437_2019-01-02' '02683337_2018-12-31'
 '10342870_2018-05-23' '05750738_2018-07-13' '10472854_2018-10-04'
 '08282435_2018-04-11' '04107434_2018-03-22' 'OC341283_2018-09-11'
 '09165062_2018-08-30' '06540708_2018-04-03' '09380893_2018-05-24'
 '07228603_2019-01-05' '10385861_2019-01-02' '10254825_2018-03-29'
 '04915241_2018-09-05' '04609439_2018-06-06' 'SC226980_2018-05-04'
 '04283540_2018-04-26' '06476929_2018-08-08' '04425595_2018-07-10'
 '08238988_2018-10-31' '05407505_2018-10-02' '09789710_2018-05-12'
 'NI613113_2018-09-14' '10635902_2018-05-22' 'OC383149_2018-12-17'
 '08673651_2018-09-18' '06871487_2018-07-19' '09934732_2018-09-17'
 '09542334_2019-01-29' '07275849_2018-10-12' '00757019_2018-11-15'
 '05355799_2018-08-08' '09708034_2018-05-22' '09819650_2018-05-31'
 '10474132_2018-11-06' '09125604_2018-04-19' 'NI636570_2018-12-05'
 '08814444_2018-09-10' '06244683_2018-09-13' 'OC407377_2018-12-31'
 '02552255_2018-10-15' '05026996_2018-08-15' '08252329_2019-01-18'
 '06994779_2019-01-10' '03355916_2018-03-16' '08464812_2019-01-07'
 '00854266_2018-09-26' '01500876_2018-09-30' '03128528_2018-05-30'
 '03010158_2018-08-08' '02670424_2018-03-06' 'SC381770_2018-09-27'
 'NI617191_2018-05-14' 'OC383390_2018-12-09' '08455384_2018-10-25'
 '06436404_2018-05-15' '09669202_2018-04-09' '09742211_2019-01-16'
 '01167325_2018-10-06' '05824628_2018-10-16' '10748926_2019-01-31'
 '06873409_2019-01-22' '07160552_2018-11-30' '02688973_2018-12-21'
 '03843550_2018-12-20' '06203212_2018-12-12' 'OC307979_2018-10-22'
 '04309557_2018-12-21' '05259054_2018-05-31' '05783050_2018-04-06'
 '04544159_2019-01-14' '09947841_2018-11-07' '03936983_2018-07-17'
 '09827589_2018-12-19' '09783674_2018-12-21' '05032067_2018-10-15'
 'SC281238_2018-11-27' '05529094_2017-11-24' '05890653_2018-05-27'
 '09926174_2019-02-01' '09967078_2018-01-23' '01825148_2018-08-14'
 '01435665_2018-05-09' '04750335_2019-01-18' '03828538_2018-06-07'
 '06288859_2018-06-26' '09672543_2018-12-14' '09613324_2018-10-26'
 '05218852_2019-02-08' 'NI020853_2018-05-15' 'OC311193_2018-10-25'
 'SC472836_2018-10-31' '09514102_2019-01-03' '06775822_2018-09-28'
 '04638871_2018-08-30' '09518150_2018-05-15' '03118854_2017-06-09'
 '06749253_2019-01-03' '01894501_2018-11-19' '08183811_2018-12-28'
 '05290340_2018-01-09' '05989934_2018-10-04' '03800292_2018-03-08'
 '07076803_2018-05-24' '04126929_2018-07-17' 'SC215503_2018-09-25'
 '05447878_2017-05-12' 'SC031515_2018-09-12' '07878925_2018-05-11'
 '09834474_2018-09-05' '02599961_2019-02-04' '02671511_2018-03-22'
 '07317239_2018-08-17' '04571349_2018-06-25' '09565689_2018-05-27'
 'OC363306_2018-12-24' '08400096_2018-02-02' '02027689_2018-10-01'
 '04925061_2018-08-16' '08287045_2018-11-20' '06117316_2018-08-10'
 '04119246_2018-04-03' '00877137_2018-09-30' '05242411_2018-03-21'
 '09603572_2017-09-20' '07293162_2018-10-11' '05859829_2018-12-06'
 '10072143_2018-12-22' '07564261_2018-12-18' '04067971_2018-05-21'
 '05860129_2018-03-27' '03612400_2018-06-01' '04567806_2018-12-18'
 '02704700_2018-10-08' '08401600_2018-04-06' '01146564_2018-11-22'
 '10049791_2018-01-26' '08217483_2018-12-24' 'SC392607_2018-01-15'
 'OC417240_2018-10-02' '03778193_2018-09-13' '10618160_2018-11-12'
 '10349825_2018-05-11' '09187690_2018-10-03' '08446267_2018-12-13'
 '08627608_2018-04-27' '01291565_2018-10-17' '05403974_2018-05-23'
 '02734059_2018-06-21' '06041876_2018-09-10' 'SC038800_2018-06-22'
 '09027292_2019-02-13' '06928061_2019-01-07' '09606891_2019-01-08'
 '09782845_2018-09-17' '07861414_2018-09-28' '01912551_2018-05-24'
 '02478328_2018-09-30' '01675457_2018-06-26' '03808852_2018-10-03'
 '08708339_2018-05-16' '09256949_2018-09-30' 'OC370074_2018-09-10'
 '05476131_2018-07-10' '04837764_2018-06-19' '08056186_2017-04-27'
 '06403212_2019-01-02' '08456856_2018-12-17' '01050578_2018-11-07'
 '03009426_2018-05-08' '10883160_2018-10-05' 'OC345647_2018-05-15'
 '07792956_2018-09-24' '03531311_2018-11-29' '08857138_2018-10-30'
 'SC094096_2018-10-03']",238,0.47035573122529645,36,274,0.541501976284585
current assets,"['09946357_2018-10-11' '04210567_2018-06-13' '02480303_2018-09-25'
 '07314921_2018-06-21' '05305200_2018-11-27' '02559683_2018-05-09'
 '09831466_2018-09-13' 'SC503875_2018-05-04' '05738042_2018-10-12'
 '05157431_2018-06-06' '06989049_2018-05-01' '07909379_2018-12-11'
 '05468650_2017-11-15' '07068932_2018-05-31' '04155448_2018-11-26'
 '00696473_2018-09-14' '06985246_2018-06-06' '05750738_2018-07-13'
 '09669697_2018-09-25' '09380893_2018-05-24' '06871487_2018-07-19'
 '09934732_2018-09-17' '09542334_2019-01-29' 'SC470463_2018-11-30'
 '09708034_2018-05-22' '09819650_2018-05-31' '02572448_2018-10-31'
 '08814444_2018-09-10' '06244683_2018-09-13' '05026996_2018-08-15'
 '08252329_2019-01-18' '07210595_2018-10-05' '03128528_2018-05-30'
 '08455384_2018-10-25' '05560206_2018-05-17' '05824628_2018-10-16'
 '07876754_2018-12-12' '05259054_2018-05-31' '09783674_2018-12-21'
 '05032067_2018-10-15' '09569080_2019-01-24' '05890653_2018-05-27'
 '09926174_2019-02-01' '10129537_2018-07-12' '09613324_2018-10-26'
 '08199321_2018-06-14' 'SC472836_2018-10-31' '06775822_2018-09-28'
 '04638871_2018-08-30' '06786096_2018-11-29' '03901367_2017-08-29'
 '07076803_2018-05-24' '08400096_2018-02-02' '08323655_2018-10-02'
 '04119246_2018-04-03' '07162861_2018-11-06' '08446267_2018-12-13'
 '08627608_2018-04-27' '06928061_2019-01-07' '04709905_2018-10-16'
 '09594612_2018-02-13' '08827983_2018-09-17' '04837764_2018-06-19'
 '04947762_2018-08-13' '09372240_2019-01-09' '05230931_2018-05-21'
 '08857138_2018-10-30']",67,0.1324110671936759,3,70,0.1383399209486166
current liabilities,"['02723119_2018-07-10' '09104588_2018-12-28' '00506612_2018-09-26'
 '01246756_2018-12-28' '03013552_2018-06-13' '01581736_2018-10-02']",6,0.011857707509881422,6,12,0.023715415019762844
debtors,"['05457103_2018-08-10' '06757157_2018-08-15' '10339765_2018-05-21'
 '07508665_2018-04-04' '02736280_2018-01-18' '06638282_2018-05-10'
 '09360896_2018-05-21' '02723119_2018-07-10' '10481329_2018-09-21'
 '01625851_2018-10-26' '08658092_2018-07-10' '10796182_2018-11-13'
 '08342128_2018-09-28' '04192928_2018-10-21' '05477483_2018-08-07'
 'SC530730_2018-12-07' '01836313_2018-09-30' '03799358_2018-08-20'
 '05017650_2018-09-13' '02193829_2018-09-21' '06624889_2018-04-04'
 '10281039_2018-04-25' '09877836_2018-10-08' '08908626_2018-05-11'
 'OC412450_2018-02-19' '07025669_2018-01-09' 'OC342862_2018-10-24'
 '06646629_2018-07-17' 'OC312612_2018-10-24' 'SC312228_2018-09-10'
 '01684721_2018-05-24' '02031807_2018-03-21' '00701225_2018-10-23'
 '09303330_2018-03-15' '00645015_2019-01-03' '01205530_2018-04-04'
 '06800135_2018-11-08' '10340513_2018-05-22' '09940236_2018-10-06'
 '01581154_2018-07-24' '08066742_2018-09-12' '07491176_2018-09-14'
 '10625857_2018-11-15' '04176450_2018-12-07' '10557156_2018-10-01'
 '01580851_2018-01-29' '02555553_2017-03-20' 'SC211905_2018-05-04'
 '02874994_2018-09-05' '02865602_2018-06-20' '01688205_2018-12-31'
 '02567814_2018-12-21' '05983990_2019-02-04' '05219123_2018-08-13'
 'SC215880_2018-08-16' '01234173_2018-02-21' '02442769_2017-01-30'
 '07428157_2018-09-20' '09586207_2019-01-12' '03209358_2018-09-28'
 '04779767_2018-09-24' '11060238_2019-02-07' '02683337_2018-12-31'
 '10342870_2018-05-23' '05292814_2018-07-04' '09869872_2019-01-22'
 'OC341283_2018-09-11' '09165062_2018-08-30' '06540708_2018-04-03'
 'SC272499_2018-04-17' '07228603_2019-01-05' '10385861_2019-01-02'
 '01246756_2018-12-28' '08337863_2018-05-03' '10254825_2018-03-29'
 '04915241_2018-09-05' '04609439_2018-06-06' '09135113_2018-01-05'
 '04283540_2018-04-26' '05105318_2019-01-14' '04425595_2018-07-10'
 '08238988_2018-10-31' '05542048_2018-09-20' '03431665_2018-01-09'
 '05407505_2018-10-02' 'NI613113_2018-09-14' '10635902_2018-05-22'
 '02706351_2018-08-13' '08948605_2018-08-16' '08524615_2018-09-17'
 'OC383149_2018-12-17' '09277272_2017-01-20' '03976947_2018-05-24'
 '00757019_2018-11-15' '10474132_2018-11-06' '06350263_2018-05-31'
 '08941680_2018-07-03' '04905451_2018-06-29' '06377386_2018-09-21'
 '00904957_2018-09-13' '06994779_2019-01-10' '07291750_2018-05-03'
 'NI625203_2017-08-29' '03355916_2018-03-16' '08464812_2019-01-07'
 '00854266_2018-09-26' '01500876_2018-09-30' '02712039_2017-10-06'
 '09776690_2018-07-04' '03010158_2018-08-08' '02670424_2018-03-06'
 'NI617191_2018-05-14' 'OC383390_2018-12-09' '01551487_2018-06-29'
 '09669202_2018-04-09' '03708614_2018-07-03' '03440203_2019-02-07'
 '10748926_2019-01-31' '06873409_2019-01-22' '07100402_2018-07-31'
 '01713181_2018-12-12' '03843550_2018-12-20' 'SC336085_2019-01-03'
 '03186874_2018-10-07' 'OC389955_2017-08-16' '09164548_2018-01-08'
 '07221470_2019-01-09' '04729479_2018-10-15' '06203212_2018-12-12'
 '02277759_2018-12-03' '09769485_2019-01-28' '04309557_2018-12-21'
 '00500613_2018-05-25' '00410453_2018-09-03' '08205725_2018-12-14'
 '05783050_2018-04-06' 'SC281238_2018-11-27' '07987156_2018-12-19'
 '03216059_2018-07-24' '00688455_2018-10-10' '01825148_2018-08-14'
 '04750335_2019-01-18' '06288859_2018-06-26' 'OC324745_2018-09-17'
 '04911695_2018-02-01' '05218852_2019-02-08' '01902690_2019-01-08'
 'NI020853_2018-05-15' '04999616_2017-08-01' '09518150_2018-05-15'
 '06749253_2019-01-03' '08868378_2018-11-21' '05290340_2018-01-09'
 '06559854_2019-01-17' '10461295_2018-08-06' '03800292_2018-03-08'
 '10819660_2018-09-20' '06995435_2018-07-02' 'SC215503_2018-09-25'
 'SC031515_2018-09-12' '07878925_2018-05-11' 'SC505813_2018-05-31'
 '09834474_2018-09-05' '06381573_2018-09-25' '00145374_2018-05-02'
 '02671511_2018-03-22' '04571349_2018-06-25' '09565689_2018-05-27'
 'OC363306_2018-12-24' '10379866_2018-09-19' '06117316_2018-08-10'
 '00877137_2018-09-30' '04730594_2019-02-05' '07692515_2017-04-29'
 '05242411_2018-03-21' '07200267_2018-12-21' '06054549_2018-10-19'
 '07293162_2018-10-11' '10072143_2018-12-22' '07564261_2018-12-18'
 '05860129_2018-03-27' '03612400_2018-06-01' '08401600_2018-04-06'
 '01146564_2018-11-22' '08217483_2018-12-24' '02197238_2018-10-04'
 '10618160_2018-11-12' '10349825_2018-05-11' '09187690_2018-10-03'
 '01291565_2018-10-17' '02734059_2018-06-21' '06041876_2018-09-10'
 '09782845_2018-09-17' '04317894_2018-06-11' '01912551_2018-05-24'
 '02478328_2018-09-30' '01675457_2018-06-26' '08708339_2018-05-16'
 '09256949_2018-09-30' '05476131_2018-07-10' '08056186_2017-04-27'
 '06403212_2019-01-02' '09001323_2017-11-23' '01050578_2018-11-07'
 '03009426_2018-05-08' 'OC345647_2018-05-15' '03320318_2018-09-19'
 'SC406554_2018-10-03' '09154504_2017-06-16' 'SC094096_2018-10-03'
 '08955915_2018-12-27']",211,0.41699604743083,4,215,0.424901185770751
debtors    cash at bank,"['06245930_2018-02-02' '03559112_2018-12-18' '09091904_2018-05-14'
 '05177605_2018-10-04' '04595098_2018-06-20' '09672543_2018-12-14'
 'SC315245_2017-11-13']",7,0.01383399209486166,2,9,0.017786561264822136
debtors    cash at bank and in hand,"['02215326_2017-10-23' '04107434_2018-03-22' '06436404_2018-05-15'
 '09514102_2019-01-03' '07183803_2018-12-12' '09606891_2019-01-08'
 '03531311_2018-11-29']",7,0.01383399209486166,4,11,0.021739130434782608
debtors amounts falling due within one year,"['01848334_2018-11-19' '05549284_2018-04-05' '09104588_2018-12-28'
 '08774049_2018-03-16' 'OC352633_2018-11-07' '03551533_2018-10-07'
 '04848475_2018-10-06' '09976915_2018-05-14' '08491028_2018-08-03'
 '07238703_2019-02-05' '03830932_2018-08-16' '07275849_2018-10-12'
 '05355799_2018-08-08' '07444976_2018-12-27' '09125604_2018-04-19'
 '02688973_2018-12-21' '10694121_2018-07-16' 'OC311193_2018-10-25'
 '02599961_2019-02-04' '02027689_2018-10-01' '09603572_2017-09-20'
 '03778193_2018-09-13' 'OC353820_2018-08-21' 'SC038800_2018-06-22'
 '07861414_2018-09-28' 'OC370074_2018-09-10' '10883160_2018-10-05'
 '07792956_2018-09-24']",28,0.05533596837944664,4,32,0.06324110671936758
deferred tax,"['00851110_2018-10-07' '01848334_2018-11-19' 'SC312228_2018-09-10'
 '09976915_2018-05-14' '08491028_2018-08-03' '07238703_2019-02-05'
 '01346397_2018-12-14' '03951948_2018-10-01' '02641437_2019-01-02'
 '05407505_2018-10-02' '07275849_2018-10-12' '07317239_2018-08-17'
 '02027689_2018-10-01' '03778193_2018-09-13' '01675457_2018-06-26'
 '10883160_2018-10-05']",16,0.03162055335968379,1,17,0.03359683794466403
donations and legacies,"['03559112_2018-12-18' '07221470_2019-01-09' '03828538_2018-06-07'
 '01774753_2018-12-19' '06015649_2018-09-30' '03320318_2018-09-19'
 'SC094096_2018-10-03']",7,0.01383399209486166,1,8,0.015810276679841896
fixed assets,"['06551042_2017-09-29' '07314921_2018-06-21' '05305200_2018-11-27'
 '02559683_2018-05-09' '05468650_2017-11-15' '05750738_2018-07-13'
 'OC315345_2019-01-28' '04103548_2018-08-14' '09542334_2019-01-29'
 '09708034_2018-05-22' '06244683_2018-09-13' '08455384_2018-10-25'
 '05560206_2018-05-17' '07876754_2018-12-12' '05032067_2018-10-15'
 '05529094_2017-11-24' '05890653_2018-05-27' '09926174_2019-02-01'
 '06775822_2018-09-28' '03901367_2017-08-29' '07076803_2018-05-24'
 '08400096_2018-02-02' '06755267_2018-12-13' '08627608_2018-04-27'
 '06928061_2019-01-07' '04709905_2018-10-16' '04837764_2018-06-19'
 '09372240_2019-01-09' 'OC345647_2018-05-15' '05230931_2018-05-21']",30,0.05928853754940711,3,33,0.06521739130434782
intangible assets,"['07508665_2018-04-04' '07987664_2018-11-22' '01836313_2018-09-30'
 '08908626_2018-05-11' '07025669_2018-01-09' '06800135_2018-11-08'
 'SC211905_2018-05-04' '09976915_2018-05-14' '02641437_2019-01-02'
 '06734246_2018-04-25' '03085506_2018-06-27' '04609439_2018-06-06'
 '03830932_2018-08-16' '05407505_2018-10-02' '08524615_2018-09-17'
 '07275849_2018-10-12' '01167325_2018-10-06' '03843550_2018-12-20'
 'OC307979_2018-10-22' '04750335_2019-01-18' '08183811_2018-12-28'
 '09565689_2018-05-27' '08401600_2018-04-06' '03778193_2018-09-13'
 '07861414_2018-09-28' '08708339_2018-05-16']",26,0.05138339920948617,6,32,0.06324110671936758
inventories,"['07427985_2018-08-22' '05445922_2017-09-30' '06024424_2018-09-17'
 '01167325_2018-10-06' '03827293_2018-08-21' '05216450_2018-11-16'
 '03013552_2018-06-13' '00877137_2018-09-30']",8,0.015810276679841896,1,9,0.017786561264822136
investment property,"['01346397_2018-12-14' '07428157_2018-09-20' '08673651_2018-09-18'
 '00688455_2018-10-10' '10461295_2018-08-06' '10819660_2018-09-20'
 '01675457_2018-06-26']",7,0.01383399209486166,2,9,0.017786561264822136
investments,"['04267912_2018-10-04' '02736280_2018-01-18' '09104588_2018-12-28'
 '06624889_2018-04-04' '03551533_2018-10-07' '07025669_2018-01-09'
 '02676624_2018-09-28' 'SC312228_2018-09-10' '00701225_2018-10-23'
 '01205530_2018-04-04' '10625857_2018-11-15' '01580851_2018-01-29'
 '01346397_2018-12-14' 'SC215880_2018-08-16' '01234173_2018-02-21'
 '03209358_2018-09-28' '02641437_2019-01-02' '03085506_2018-06-27'
 'SC272499_2018-04-17' '01246756_2018-12-28' '06476929_2018-08-08'
 '05407505_2018-10-02' '08948605_2018-08-16' '07444976_2018-12-27'
 '09125604_2018-04-19' '00904957_2018-09-13' '00854266_2018-09-26'
 '01551487_2018-06-29' '01167325_2018-10-06' '02688973_2018-12-21'
 '09947841_2018-11-07' '05351022_2018-09-18' '05121287_2018-03-27'
 '00688455_2018-10-10' '01825148_2018-08-14' '06288859_2018-06-26'
 '05989934_2018-10-04' '03800292_2018-03-08' 'SC215503_2018-09-25'
 '00145374_2018-05-02' '09565689_2018-05-27' '04925061_2018-08-16'
 'OC330373_2018-08-03' '04730594_2019-02-05' '07200267_2018-12-21'
 '06755267_2018-12-13' '07293162_2018-10-11' '08401600_2018-04-06'
 'OC411998_2018-08-28' '09187690_2018-10-03' '02860394_2018-06-06'
 '09070307_2018-12-18' '04317894_2018-06-11' '02478328_2018-09-30'
 '10776218_2018-03-22' '09001323_2017-11-23' '09154504_2017-06-16']",57,0.11264822134387352,2,59,0.116600790513834
liabilities,"['09946357_2018-10-11' '07987664_2018-11-22' '05549284_2018-04-05'
 'SC530730_2018-12-07' '08774049_2018-03-16' '08908626_2018-05-11'
 '02215326_2017-10-23' '09303330_2018-03-15' '04176450_2018-12-07'
 '07909379_2018-12-11' '10208054_2018-06-27' 'SC215880_2018-08-16'
 '01234173_2018-02-21' '09586207_2019-01-12' '03661209_2018-09-13'
 '09669697_2018-09-25' '04107434_2018-03-22' 'SC226980_2018-05-04'
 '08524615_2018-09-17' 'SC470463_2018-11-30' '09091904_2018-05-14'
 '06350263_2018-05-31' '00904957_2018-09-13' '07210595_2018-10-05'
 '05177605_2018-10-04' '03708614_2018-07-03' '03440203_2019-02-07'
 '07221470_2019-01-09' '07876754_2018-12-12' '00410453_2018-09-03'
 '04817286_2017-11-29' '00688455_2018-10-10' '04595098_2018-06-20'
 '04911695_2018-02-01' '08199321_2018-06-14' 'SC425845_2018-08-08'
 '01902690_2019-01-08' 'SC062350_2019-01-30' '06995435_2018-07-02'
 '07183803_2018-12-12' 'SC505813_2018-05-31' '00877137_2018-09-30'
 '07692515_2017-04-29' '07162861_2018-11-06' '03988201_2018-05-23'
 '09070307_2018-12-18' 'SC038800_2018-06-22' '04709905_2018-10-16'
 '09372240_2019-01-09' '09001323_2017-11-23' '03320318_2018-09-19'
 '05230931_2018-05-21']",52,0.10276679841897234,4,56,0.11067193675889328
loans and other debts due to members,"['NC000295_2018-12-19' 'OC352633_2018-11-07' 'OC347970_2018-08-02'
 'OC341283_2018-09-11' 'OC315345_2019-01-28' 'OC383149_2018-12-17'
 'OC383390_2018-12-09' 'OC307979_2018-10-22' 'OC353820_2018-08-21'
 'OC370074_2018-09-10' 'OC345647_2018-05-15']",11,0.021739130434782608,3,14,0.02766798418972332
members other interests,"['OC342862_2018-10-24' 'OC312612_2018-10-24' 'OC383390_2018-12-09'
 'OC311193_2018-10-25' 'OC363306_2018-12-24' 'OC411998_2018-08-28'
 'OC353820_2018-08-21' 'OC370074_2018-09-10']",8,0.015810276679841896,1,9,0.017786561264822136
net assets,"['05457103_2018-08-10' '07508665_2018-04-04' '09727421_2018-05-07'
 '10120241_2018-07-25' '02736280_2018-01-18' '06638282_2018-05-10'
 '06199992_2018-05-11' '01625851_2018-10-26' '07987664_2018-11-22'
 '00851110_2018-10-07' '08658092_2018-07-10' '01848334_2018-11-19'
 '08342128_2018-09-28' '04192928_2018-10-21' '05549284_2018-04-05'
 '05477483_2018-08-07' '08257555_2018-11-01' '03799358_2018-08-20'
 '09694429_2018-11-27' '02193829_2018-09-21' '08774049_2018-03-16'
 '08512069_2018-07-11' '02480303_2018-09-25' 'OC352633_2018-11-07'
 '05305200_2018-11-27' '08908626_2018-05-11' '03551533_2018-10-07'
 '02559683_2018-05-09' '07025669_2018-01-09' '02215326_2017-10-23'
 '09683278_2018-05-31' 'SC312228_2018-09-10' '01684721_2018-05-24'
 '00701225_2018-10-23' '00645015_2019-01-03' '06800135_2018-11-08'
 '03337861_2018-11-13' '01581154_2018-07-24' '09578463_2017-06-05'
 '06516481_2018-05-30' '08066742_2018-09-12' '06989049_2018-05-01'
 '03824389_2018-09-10' '01580851_2018-01-29' '02555553_2017-03-20'
 '06223740_2018-10-22' '08296561_2019-01-21' 'SC211905_2018-05-04'
 '08491028_2018-08-03' '07899958_2018-10-22' '07238703_2019-02-05'
 '05219123_2018-08-13' '07773187_2018-11-14' '00696473_2018-09-14'
 '03247348_2018-05-29' '04779767_2018-09-24' '03951948_2018-10-01'
 '02641437_2019-01-02' '02683337_2018-12-31' '05750738_2018-07-13'
 '04107434_2018-03-22' 'OC341283_2018-09-11' '03085506_2018-06-27'
 '09165062_2018-08-30' 'OC365965_2017-08-15' 'SC272499_2018-04-17'
 '07228603_2019-01-05' '01246756_2018-12-28' '08337863_2018-05-03'
 '03990225_2018-05-01' '04609439_2018-06-06' 'SC226980_2018-05-04'
 '04022527_2019-02-13' '04283540_2018-04-26' '08699242_2017-04-06'
 '06476929_2018-08-08' '08238988_2018-10-31' '05407505_2018-10-02'
 '09148650_2017-08-24' '09789710_2018-05-12' 'NI613113_2018-09-14'
 '06363165_2018-03-07' '09658334_2018-05-15' '08948605_2018-08-16'
 '08524615_2018-09-17' 'OC383149_2018-12-17' '06665148_2018-10-18'
 '10155776_2018-05-07' '10122393_2019-01-22' '08673651_2018-09-18'
 '06871487_2018-07-19' '07275849_2018-10-12' '00757019_2018-11-15'
 '07444976_2018-12-27' '09819650_2018-05-31' '06350263_2018-05-31'
 '09125604_2018-04-19' '08646989_2018-10-07' '06512269_2018-05-24'
 '08814444_2018-09-10' '00904957_2018-09-13' '10317198_2018-09-06'
 '08252329_2019-01-18' '07291750_2018-05-03' '08635571_2018-05-18'
 '08464812_2019-01-07' '00854266_2018-09-26' '05260638_2018-05-02'
 '01500876_2018-09-30' '03128528_2018-05-30' '03010158_2018-08-08'
 '05177605_2018-10-04' '06436404_2018-05-15' '08778584_2018-09-03'
 '05560206_2018-05-17' '01167325_2018-10-06' '03440203_2019-02-07'
 '06873409_2019-01-22' '02688973_2018-12-21' 'SC336085_2019-01-03'
 '07221470_2019-01-09' '02277759_2018-12-03' '04309557_2018-12-21'
 '06912932_2019-01-28' '00410453_2018-09-03' '06757947_2018-09-03'
 '09827589_2018-12-19' '03827293_2018-08-21' '10632949_2018-09-18'
 '05890653_2018-05-27' '05121287_2018-03-27' '09926174_2019-02-01'
 '01825148_2018-08-14' '01435665_2018-05-09' '06288859_2018-06-26'
 '04001138_2018-03-07' '03013552_2018-06-13' '09672543_2018-12-14'
 '05218852_2019-02-08' '01902690_2019-01-08' '09940646_2018-10-25'
 'NI020853_2018-05-15' 'OC311193_2018-10-25' 'SC472836_2018-10-31'
 '09514102_2019-01-03' '06775822_2018-09-28' '09518150_2018-05-15'
 '07660688_2018-09-21' '03118854_2017-06-09' '06749253_2019-01-03'
 '08868378_2018-11-21' '05290340_2018-01-09' '06559854_2019-01-17'
 '03901367_2017-08-29' '03972790_2019-01-15' '07183803_2018-12-12'
 'SC215503_2018-09-25' '05447878_2017-05-12' '07358920_2018-05-11'
 '07729560_2018-05-30' '07878925_2018-05-11' 'SC505813_2018-05-31'
 '09174155_2018-05-08' '09834474_2018-09-05' '06381573_2018-09-25'
 '02599961_2019-02-04' '02671511_2018-03-22' '07317239_2018-08-17'
 '04571349_2018-06-25' '02027689_2018-10-01' '06117316_2018-08-10'
 '00877137_2018-09-30' '09038360_2019-02-05' '04730594_2019-02-05'
 '05242411_2018-03-21' '06755267_2018-12-13' '04899353_2018-05-23'
 '09603572_2017-09-20' '06054549_2018-10-19' '10072143_2018-12-22'
 '01146564_2018-11-22' 'SC315245_2017-11-13' '08217483_2018-12-24'
 '02197238_2018-10-04' '03778193_2018-09-13' '08948615_2018-07-06'
 'OC411998_2018-08-28' '02860394_2018-06-06' '03988201_2018-05-23'
 'OC353820_2018-08-21' '01291565_2018-10-17' '09954672_2018-10-02'
 '02734059_2018-06-21' 'SC038800_2018-06-22' '06928061_2019-01-07'
 '09606891_2019-01-08' '07861414_2018-09-28' '01912551_2018-05-24'
 '02478328_2018-09-30' '01675457_2018-06-26' '09594612_2018-02-13'
 '08708339_2018-05-16' '09256949_2018-09-30' '05476131_2018-07-10'
 '04837764_2018-06-19' '08056186_2017-04-27' '06403212_2019-01-02'
 '08456856_2018-12-17' '01050578_2018-11-07' '03009426_2018-05-08'
 '03320318_2018-09-19' '07792956_2018-09-24' '09154504_2017-06-16'
 'SC094096_2018-10-03' '08955915_2018-12-27' '04154504_2018-07-03']",216,0.4268774703557312,4,220,0.43478260869565216
