,conf,currYr,label,source,value,year,unit
0,65.0,1.0,Fixed assets,Fixed assets 833 1597,833,2006.0,
1,94.0,0.0,Fixed assets,Fixed assets 833 1597,1597,2005.0,
2,96.0,1.0,Current assets,Current assets 73158 22676,73158,2006.0,
3,94.0,0.0,Current assets,Current assets 73158 22676,22676,2005.0,
4,77.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 32817 13317,32817,2006.0,
5,96.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 32817 13317,13317,2005.0,
6,93.0,1.0,Net current assets,Net current assets 40341 9365,40341,2006.0,
7,96.0,0.0,Net current assets,Net current assets 40341 9365,9365,2005.0,
8,95.0,1.0,Total assets less current liabilities,Total assets less current liabilities 41174 10882,41174,2006.0,
9,94.0,0.0,Total assets less current liabilities,Total assets less current liabilities 41174 10882,10882,2005.0,
10,96.0,1.0,Net assets,Net assets 41174 10882,41174,2006.0,
11,95.0,0.0,Net assets,Net assets 41174 10882,10882,2005.0,
12,92.0,1.0,Capital and reserves,Capital and reserves 41174 10882,41174,2006.0,
13,95.0,0.0,Capital and reserves,Capital and reserves 41174 10882,10882,2005.0,
