,conf,currYr,label,source,value,year,unit
0,95.0,1.0,Tangible assets,Tangible assets 3 18874 25386,18874,2017.0,
1,95.0,0.0,Tangible assets,Tangible assets 3 18874 25386,25386,2016.0,
2,89.0,1.0,Total fixed assets,Total fixed assets 18874 25386,18874,2017.0,
3,95.0,0.0,Total fixed assets,Total fixed assets 18874 25386,25386,2016.0,
4,95.0,1.0,Debtors,Debtors 474 12790,474,2017.0,
5,93.0,0.0,Debtors,Debtors 474 12790,12790,2016.0,
6,95.0,1.0,Cash at bank and in hand,Cash at bank and in hand 20010 32376,20010,2017.0,
7,94.0,0.0,Cash at bank and in hand,Cash at bank and in hand 20010 32376,32376,2016.0,
8,96.0,1.0,Total current assets,Total current assets 20484 45166,20484,2017.0,
9,95.0,0.0,Total current assets,Total current assets 20484 45166,45166,2016.0,
10,96.0,1.0,Creditors amounts falling duc within one year,Creditors amounts falling duc within one year 16235 42067,16235,2017.0,
11,95.0,0.0,Creditors amounts falling duc within one year,Creditors amounts falling duc within one year 16235 42067,42067,2016.0,
12,96.0,1.0,Net current assets liabilities,Net current assets liabilities 4249 3099,4249,2017.0,
13,96.0,0.0,Net current assets liabilities,Net current assets liabilities 4249 3099,3099,2016.0,
14,90.0,1.0,Total assets less current liabilities,Total assets less current liabilities 23123 28485,23123,2017.0,
15,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 23123 28485,28485,2016.0,
16,92.0,1.0,Provision for liabilities,Provision for liabilities 3586 5077,3586,2017.0,
17,77.0,0.0,Provision for liabilities,Provision for liabilities 3586 5077,5077,2016.0,
18,96.0,1.0,Total net assets liabilities,Total net assets liabilities 19537 23408,19537,2017.0,
19,96.0,0.0,Total net assets liabilities,Total net assets liabilities 19537 23408,23408,2016.0,
20,93.0,1.0,Profit and loss account,Profit and loss account 19536 23407,19536,2017.0,
21,94.0,0.0,Profit and loss account,Profit and loss account 19536 23407,23407,2016.0,
22,96.0,1.0,Shareholders funds,Shareholders funds 19537 23408,19537,2017.0,
23,96.0,0.0,Shareholders funds,Shareholders funds 19537 23408,23408,2016.0,
