,conf,currYr,label,source,value,year,unit
0,81.0,1.0,Fixed assets,Fixed assets 2491 1081,2491,2006.0,
1,93.0,0.0,Fixed assets,Fixed assets 2491 1081,1081,2005.0,
2,96.0,1.0,Current assets,Current assets 14892 2413,14892,2006.0,
3,89.0,0.0,Current assets,Current assets 14892 2413,2413,2005.0,
4,96.0,1.0,Net current assetslabilities,Net current assetslabilities 8647 1539,8647,2006.0,
5,95.0,0.0,Net current assetslabilities,Net current assetslabilities 8647 1539,1539,2005.0,
6,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 11138 458,11138,2006.0,
7,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 11138 458,458,2005.0,
8,96.0,1.0,Net assetsnet liabilities,Net assetsnet liabilities 11138 458,11138,2006.0,
9,94.0,0.0,Net assetsnet liabilities,Net assetsnet liabilities 11138 458,458,2005.0,
10,96.0,1.0,Capital and reserves,Capital and reserves 11138 458,11138,2006.0,
11,94.0,0.0,Capital and reserves,Capital and reserves 11138 458,458,2005.0,
