,conf,currYr,label,source,value,year,unit
0,96.0,1.0,FixedAssets,FixedAssets 272 1023,272,2018.0,
1,94.0,0.0,FixedAssets,FixedAssets 272 1023,1023,2017.0,
2,96.0,1.0,Current assets,Current assets 37997 20222,37997,2018.0,
3,96.0,0.0,Current assets,Current assets 37997 20222,20222,2017.0,
4,93.0,1.0,Prepayments and accrued income,Prepayments and accrued income 0 53,0,2018.0,
5,72.0,0.0,Prepayments and accrued income,Prepayments and accrued income 0 53,53,2017.0,
6,94.0,1.0,Net current assets liabilities,Net current assets liabilities 1818 5504,1818,2018.0,
7,96.0,0.0,Net current assets liabilities,Net current assets liabilities 1818 5504,5504,2017.0,
8,95.0,1.0,Total assets less current liabilities,Total assets less current liabilities 2090 6527,2090,2018.0,
9,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 2090 6527,6527,2017.0,
10,94.0,1.0,Creditors amounts falling due after more than one year,Creditors amounts falling due after more than one year 0 0,0,2018.0,
11,87.0,0.0,Creditors amounts falling due after more than one year,Creditors amounts falling due after more than one year 0 0,0,2017.0,
12,93.0,1.0,Provision for liabilities,Provision for liabilities 0 0,0,2018.0,
13,94.0,0.0,Provision for liabilities,Provision for liabilities 0 0,0,2017.0,
14,94.0,1.0,Accruals and deferred income,Accruals and deferred income 0 0,0,2018.0,
15,96.0,0.0,Accruals and deferred income,Accruals and deferred income 0 0,0,2017.0,
16,96.0,1.0,Total net assets liabilities,Total net assets liabilities 2090 6527,2090,2018.0,
17,96.0,0.0,Total net assets liabilities,Total net assets liabilities 2090 6527,6527,2017.0,
18,96.0,1.0,Capital and reserves,Capital and reserves 2090 6527,2090,2018.0,
19,95.0,0.0,Capital and reserves,Capital and reserves 2090 6527,6527,2017.0,
