,conf,currYr,label,source,value,year,unit
0,92.0,1.0,Notes,Notes 2018 2017,2018,2018.0,
1,95.0,0.0,Notes,Notes 2018 2017,2017,2017.0,
2,95.0,1.0,Tangible assets,Tangible assets 2 8803,2,2018.0,
3,96.0,0.0,Tangible assets,Tangible assets 2 8803,8803,2017.0,
4,76.0,1.0,Cash at bank and in hand,Cash at bank and in hand 6237 5444,6237,2018.0,
5,95.0,0.0,Cash at bank and in hand,Cash at bank and in hand 6237 5444,5444,2017.0,
6,81.0,1.0,Total current assets,Total current assets 6237 5444,6237,2018.0,
7,95.0,0.0,Total current assets,Total current assets 6237 5444,5444,2017.0,
8,96.0,1.0,Net current assets liabilities,Net current assets liabilities 4024 5593,4024,2018.0,
9,96.0,0.0,Net current assets liabilities,Net current assets liabilities 4024 5593,5593,2017.0,
10,89.0,1.0,Called up share capital,Called up share capital 110 110,110,2018.0,
11,87.0,0.0,Called up share capital,Called up share capital 110 110,110,2017.0,
12,95.0,1.0,Share premium account,Share premium account 8990 8990,8990,2018.0,
13,95.0,0.0,Share premium account,Share premium account 8990 8990,8990,2017.0,
14,96.0,1.0,Profit and loss account,Profit and loss account 6547 5890,6547,2018.0,
15,94.0,0.0,Profit and loss account,Profit and loss account 6547 5890,5890,2017.0,
16,95.0,1.0,Shareholders funds,Shareholders funds 2553 3210,2553,2018.0,
17,93.0,0.0,Shareholders funds,Shareholders funds 2553 3210,3210,2017.0,
