,conf,currYr,label,source,value,year,unit
0,95.0,1.0,Tangible assets,Tangible assets 6 1425 3164,1425,2018.0,£
1,96.0,0.0,Tangible assets,Tangible assets 6 1425 3164,3164,2017.0,£
2,96.0,1.0,Debtors,Debtors 26515 33493,26515,2018.0,£
3,96.0,0.0,Debtors,Debtors 26515 33493,33493,2017.0,£
4,94.0,1.0,Investments,Investments 7 475017 415217,475017,2018.0,£
5,96.0,0.0,Investments,Investments 7 475017 415217,415217,2017.0,£
6,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 120997 93229,120997,2018.0,£
7,95.0,0.0,Cash at bank and in hand,Cash at bank and in hand 120997 93229,93229,2017.0,£
8,95.0,1.0,Creditors amounts falling due within one year,within one year 50726 44228,50726,2018.0,£
9,95.0,0.0,Creditors amounts falling due within one year,within one year 50726 44228,44228,2017.0,£
10,95.0,1.0,Net current assets,Net current assets 571803 497711,571803,2018.0,£
11,96.0,0.0,Net current assets,Net current assets 571803 497711,497711,2017.0,£
12,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 573228 500875,573228,2018.0,£
13,95.0,0.0,Total assets less current liabilities,Total assets less current liabilities 573228 500875,500875,2017.0,£
14,96.0,1.0,Net assets,Net assets 573228 500875,573228,2018.0,£
15,96.0,0.0,Net assets,Net assets 573228 500875,500875,2017.0,£
16,96.0,1.0,Called up share capital,Called up share capital 2 2,2,2018.0,£
17,96.0,0.0,Called up share capital,Called up share capital 2 2,2,2017.0,£
18,95.0,1.0,Profit and loss account,Profit and loss account 573226 500873,573226,2018.0,£
19,96.0,0.0,Profit and loss account,Profit and loss account 573226 500873,500873,2017.0,£
20,96.0,1.0,Shareholders funds,Shareholders funds 573228 500875,573228,2018.0,£
21,96.0,0.0,Shareholders funds,Shareholders funds 573228 500875,500875,2017.0,£
