,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Investment property,Investment property 4 4942030,4,2018.0,£
1,97.0,0.0,Investment property,Investment property 4 4942030,4942030,2017.0,£
2,96.0,1.0,Debtors amounts falling due within one year,Debtors amounts falling due within one year 5 13879,5,2018.0,£
3,96.0,0.0,Debtors amounts falling due within one year,Debtors amounts falling due within one year 5 13879,13879,2017.0,£
4,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 6 53447,6,2018.0,£
5,96.0,0.0,Cash at bank and in hand,Cash at bank and in hand 6 53447,53447,2017.0,£
6,96.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 7 140604,7,2018.0,£
7,96.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 7 140604,140604,2017.0,£
8,96.0,1.0,Called up share capital,Called up share capital 8 4750001,8,2018.0,£
9,96.0,0.0,Called up share capital,Called up share capital 8 4750001,4750001,2017.0,£
