,conf,currYr,label,source,value,year,unit
0,61.0,1.0,Notes,Notes 2017 2016,2017,2006.0,£
1,61.0,0.0,Notes,Notes 2017 2016,2016,2005.0,£
2,96.0,1.0,Fixed Assets,Fixed Assets 80873 334,80873,2006.0,£
3,96.0,0.0,Fixed Assets,Fixed Assets 80873 334,334,2005.0,£
4,94.0,1.0,Current Assets,Current Assets 45019 38334,45019,2006.0,£
5,93.0,0.0,Current Assets,Current Assets 45019 38334,38334,2005.0,£
6,57.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 24728 18880,24728,2006.0,£
7,57.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 24728 18880,18880,2005.0,£
8,74.0,1.0,None Net current assets liabilities,None Net current assets liabilities 20291 19454,20291,2006.0,£
9,6.0,0.0,None Net current assets liabilities,None Net current assets liabilities 20291 19454,19454,2005.0,£
10,65.0,1.0,None Total assets less current liabilities 101164. 19788 eae amounts falling due after more than one,eae amounts falling due after more than one 55095 6,55095,2006.0,£
11,95.0,0.0,None Total assets less current liabilities 101164. 19788 eae amounts falling due after more than one,eae amounts falling due after more than one 55095 6,6,2005.0,£
12,96.0,1.0,Accruals and deferred income,Accruals and deferred income 2200 2200,2200,2006.0,£
13,93.0,0.0,Accruals and deferred income,Accruals and deferred income 2200 2200,2200,2005.0,£
14,81.0,1.0,Total net assets liabilities,Total net assets liabilities 43869 17588,43869,2006.0,£
15,81.0,0.0,Total net assets liabilities,Total net assets liabilities 43869 17588,17588,2005.0,£
16,81.0,1.0,Capital and reserves,Capital and reserves 43869 17588,43869,2006.0,£
17,81.0,0.0,Capital and reserves,Capital and reserves 43869 17588,17588,2005.0,£
