,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Tangible assets,Tangible assets 4 28823 34975,28823,2017.0,£
1,95.0,0.0,Tangible assets,Tangible assets 4 28823 34975,34975,2016.0,£
2,83.0,1.0,Stocks,Stocks 171976 157224,171976,2017.0,£
3,96.0,0.0,Stocks,Stocks 171976 157224,157224,2016.0,£
4,92.0,1.0,Debtors,Debtors 44502 17753,44502,2017.0,£
5,95.0,0.0,Debtors,Debtors 44502 17753,17753,2016.0,£
6,83.0,1.0,Cash at bank,Cash at bank 84984 124 283,124,2017.0,£
7,83.0,0.0,Cash at bank,Cash at bank 84984 124 283,283,2016.0,£
8,89.0,1.0,Amounts falling due within one year,Amounts falling due within one year 109744 123092,109744,2017.0,£
9,92.0,0.0,Amounts falling due within one year,Amounts falling due within one year 109744 123092,123092,2016.0,£
10,96.0,1.0,NET CURRENT ASSETS,NET CURRENT ASSETS 191718 176168,191718,2017.0,£
11,94.0,0.0,NET CURRENT ASSETS,NET CURRENT ASSETS 191718 176168,176168,2016.0,£
12,96.0,1.0,LIABILITIES,LIABILITIES 220541 211143,220541,2017.0,£
13,96.0,0.0,LIABILITIES,LIABILITIES 220541 211143,211143,2016.0,£
14,75.0,1.0,Amounts falling due after more than one year,year 65155 65155,65155,2017.0,£
15,87.0,0.0,Amounts falling due after more than one year,year 65155 65155,65155,2016.0,£
16,90.0,1.0,PROVISIONS FOR LIABILITIES,PROVISIONS FOR LIABILITIES 5  121,5,2017.0,£
17,92.0,0.0,PROVISIONS FOR LIABILITIES,PROVISIONS FOR LIABILITIES 5  121,121,2016.0,£
18,96.0,1.0,NET ASSETS,NET ASSETS 155386 145867,155386,2017.0,£
19,94.0,0.0,NET ASSETS,NET ASSETS 155386 145867,145867,2016.0,£
20,96.0,1.0,Called up share capital,Called up share capital 100 100,100,2017.0,£
21,96.0,0.0,Called up share capital,Called up share capital 100 100,100,2016.0,£
22,94.0,1.0,Retained earnings,Retained earnings 155286 145767,155286,2017.0,£
23,76.0,0.0,Retained earnings,Retained earnings 155286 145767,145767,2016.0,£
24,95.0,1.0,SHAREHOLDERS FUNDS,SHAREHOLDERS FUNDS 155386 145867,155386,2017.0,£
25,80.0,0.0,SHAREHOLDERS FUNDS,SHAREHOLDERS FUNDS 155386 145867,145867,2016.0,£
