,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Tangible assets,Tangible assets 2 5530,2,2017.0,£
1,79.0,0.0,Tangible assets,Tangible assets 2 5530,5530,2016.0,£
2,93.0,1.0,Debtors .,Debtors . 3 101924,3,2017.0,£
3,96.0,0.0,Debtors .,Debtors . 3 101924,101924,2016.0,£
4,96.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 4 65100,4,2017.0,£
5,97.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 4 65100,65100,2016.0,£
