,conf,currYr,label,source,value,year,unit
0,85.0,1.0,Notes,Notes 000 000,000,2018.0,£'000
1,87.0,0.0,Notes,Notes 000 000,000,2017.0,£'000
2,96.0,1.0,Intangible assets,Intangible assets 9 2095 2255,2095,2018.0,£'000
3,96.0,0.0,Intangible assets,Intangible assets 9 2095 2255,2255,2017.0,£'000
4,96.0,1.0,Tangible assets,Tangible assets 10 251 336,251,2018.0,£'000
5,95.0,0.0,Tangible assets,Tangible assets 10 251 336,336,2017.0,£'000
6,96.0,1.0,Debtors amounts falling due within one year,Debtors amounts falling due within one year 11 4714 3502,4714,2018.0,£'000
7,96.0,0.0,Debtors amounts falling due within one year,Debtors amounts falling due within one year 11 4714 3502,3502,2017.0,£'000
8,96.0,1.0,Cash at bank .,Cash at bank . 73 524,73,2018.0,£'000
9,94.0,0.0,Cash at bank .,Cash at bank . 73 524,524,2017.0,£'000
10,96.0,1.0,DUE WITHIN ONE YEAR,DUE WITHIN ONE YEAR 12 2210 1852,2210,2018.0,£'000
11,96.0,0.0,DUE WITHIN ONE YEAR,DUE WITHIN ONE YEAR 12 2210 1852,1852,2017.0,£'000
12,96.0,1.0,NET CURRENT ASSETS .,NET CURRENT ASSETS .  2599 2174,2599,2018.0,£'000
13,64.0,0.0,NET CURRENT ASSETS .,NET CURRENT ASSETS .  2599 2174,2174,2017.0,£'000
14,96.0,1.0,TOTAL ASSETS LESS CURRENT LIABILITIES,TOTAL ASSETS LESS CURRENT LIABILITIES 4945 4765,4945,2018.0,£'000
15,95.0,0.0,TOTAL ASSETS LESS CURRENT LIABILITIES,TOTAL ASSETS LESS CURRENT LIABILITIES 4945 4765,4765,2017.0,£'000
16,96.0,1.0,Called up share capital,Called up share capital  13 500 500,500,2018.0,£'000
17,96.0,0.0,Called up share capital,Called up share capital  13 500 500,500,2017.0,£'000
18,95.0,1.0,Retained earnings,Retained earnings 4445 4265,4445,2018.0,£'000
19,96.0,0.0,Retained earnings,Retained earnings 4445 4265,4265,2017.0,£'000
20,96.0,1.0,TOTAL SHAREHOLDERS FUNDS,TOTAL SHAREHOLDERS FUNDS 4945 4765,4945,2018.0,£'000
21,96.0,0.0,TOTAL SHAREHOLDERS FUNDS,TOTAL SHAREHOLDERS FUNDS 4945 4765,4765,2017.0,£'000
