,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Tangible fixed assets,Tangible fixed assets 11536 20199,11536,2016.0,£
1,96.0,0.0,Tangible fixed assets,Tangible fixed assets 11536 20199,20199,2015.0,£
2,96.0,1.0,Stocks,Stocks 109241 175508,109241,2016.0,£
3,95.0,0.0,Stocks,Stocks 109241 175508,175508,2015.0,£
4,90.0,1.0,Debtors,Debtors 76196 79433,76196,2016.0,£
5,93.0,0.0,Debtors,Debtors 76196 79433,79433,2015.0,£
6,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 10386 1494,10386,2016.0,£
7,95.0,0.0,Cash at bank and in hand,Cash at bank and in hand 10386 1494,1494,2015.0,£
8,96.0,1.0,Creditors Amounts falling due within one year,Creditors Amounts falling due within one year 77250 111241,77250,2016.0,£
9,28.0,0.0,Creditors Amounts falling due within one year,Creditors Amounts falling due within one year 77250 111241,111241,2015.0,£
10,96.0,1.0,Net current assets,Net current assets 118573 145194,118573,2016.0,£
11,96.0,0.0,Net current assets,Net current assets 118573 145194,145194,2015.0,£
12,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 130109 165393,130109,2016.0,£
13,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 130109 165393,165393,2015.0,£
14,95.0,1.0,Net assets,Net assets 130109 161645,130109,2016.0,£
15,96.0,0.0,Net assets,Net assets 130109 161645,161645,2015.0,£
16,96.0,1.0,Called up share capital,Called up share capital 3 235050 235050,235050,2016.0,£
17,96.0,0.0,Called up share capital,Called up share capital 3 235050 235050,235050,2015.0,£
18,96.0,1.0,Capital redemption reserve,Capital redemption reserve 203200 203200,203200,2016.0,£
19,96.0,0.0,Capital redemption reserve,Capital redemption reserve 203200 203200,203200,2015.0,£
20,96.0,1.0,Profit and loss account,Profit and loss account 98259 129795,98259,2016.0,£
21,88.0,0.0,Profit and loss account,Profit and loss account 98259 129795,129795,2015.0,£
22,96.0,1.0,Shareholders funds,Shareholders funds 130109 161645,130109,2016.0,£
23,95.0,0.0,Shareholders funds,Shareholders funds 130109 161645,161645,2015.0,£
