,conf,currYr,label,source,value,year,unit
0,95.0,1.0,Fixed assets,Fixed assets 41953 46763,41953,2018.0,£
1,96.0,0.0,Fixed assets,Fixed assets 41953 46763,46763,2017.0,£
2,95.0,1.0,Current assets,Current assets 15414 5905,15414,2018.0,£
3,96.0,0.0,Current assets,Current assets 15414 5905,5905,2017.0,£
4,96.0,1.0,Prepayments and accrued income,Prepayments and accrued income 561 960,561,2018.0,£
5,92.0,0.0,Prepayments and accrued income,Prepayments and accrued income 561 960,960,2017.0,£
6,94.0,1.0,Creditors Amounts falling due within one year,Creditors Amounts falling due within one year 9093 13570,9093,2018.0,£
7,96.0,0.0,Creditors Amounts falling due within one year,Creditors Amounts falling due within one year 9093 13570,13570,2017.0,£
8,57.0,1.0,Net current assetsliabilities,Net current assetsliabilities 6882 6705,6882,2018.0,£
9,95.0,0.0,Net current assetsliabilities,Net current assetsliabilities 6882 6705,6705,2017.0,£
10,92.0,1.0,Total assets less current liabilities,Total assets less current liabilities 48835 40058,48835,2018.0,£
11,87.0,0.0,Total assets less current liabilities,Total assets less current liabilities 48835 40058,40058,2017.0,£
12,73.0,1.0,Accruals and deferred income,Accruals and deferred income 9874 3687,9874,2018.0,£
13,96.0,0.0,Accruals and deferred income,Accruals and deferred income 9874 3687,3687,2017.0,£
14,94.0,1.0,Capital and reserves,Capital and reserves 38961 36371,38961,2018.0,£
15,92.0,0.0,Capital and reserves,Capital and reserves 38961 36371,36371,2017.0,£
