,conf,currYr,label,source,value,year,unit
0,95.0,1.0,Tangible assets,Tangible assets 4 745 1191,745,2017.0,£
1,95.0,0.0,Tangible assets,Tangible assets 4 745 1191,1191,2016.0,£
2,96.0,1.0,Debtors    Cash at bank,Debtors 5 4945 892 Cash at bank 1253 632,1253,2017.0,£
3,96.0,0.0,Debtors    Cash at bank,Debtors 5 4945 892 Cash at bank 1253 632,632,2016.0,£
4,94.0,1.0,NET CURRENT LIABILITIES co aon,NET CURRENT LIABILITIES co aon 1213 12392,1213,2017.0,£
5,94.0,0.0,NET CURRENT LIABILITIES co aon,NET CURRENT LIABILITIES co aon 1213 12392,12392,2016.0,£
6,96.0,1.0,LIABILITIES . oo, LIABILITIES . oo 7 468 7 11201,7,2017.0,£
7,35.0,0.0,LIABILITIES . oo, LIABILITIES . oo 7 468 7 11201,11201,2016.0,£
8,94.0,1.0,Called up share capital,Called up share capital 8 1 1,1,2017.0,£
9,90.0,0.0,Called up share capital,Called up share capital 8 1 1,1,2016.0,£
10,96.0,1.0,Share premium,Share premium 99 99,99,2017.0,£
11,95.0,0.0,Share premium,Share premium 99 99,99,2016.0,£
12,94.0,1.0,Retained earnings,Retained earnings 568 11301,568,2017.0,£
13,94.0,0.0,Retained earnings,Retained earnings 568 11301,11301,2016.0,£
14,94.0,1.0,SHAREHOLDERS FUNDS vos,SHAREHOLDERS FUNDS vos 468  11201,468,2017.0,£
15,0.0,0.0,SHAREHOLDERS FUNDS vos,SHAREHOLDERS FUNDS vos 468  11201,11201,2016.0,£
