,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Tangible assets,Tangible assets 76058 72510,76058,2017.0,£
1,96.0,0.0,Tangible assets,Tangible assets 76058 72510,72510,2016.0,£
2,96.0,1.0,Stocks,Stocks 32790 42928,32790,2017.0,£
3,96.0,0.0,Stocks,Stocks 32790 42928,42928,2016.0,£
4,95.0,1.0,Debtors,Debtors 959655 1190113,959655,2017.0,£
5,95.0,0.0,Debtors,Debtors 959655 1190113,1190113,2016.0,£
6,96.0,1.0,Creditors amounts falling due within one year,one year 910630 852396,910630,2017.0,£
7,96.0,0.0,Creditors amounts falling due within one year,one year 910630 852396,852396,2016.0,£
8,96.0,1.0,Net current assets,Net current assets 389434 380645,389434,2017.0,£
9,96.0,0.0,Net current assets,Net current assets 389434 380645,380645,2016.0,£
10,95.0,1.0,Total assets less current liabilities,Total assets less current liabilities 465492 453155,465492,2017.0,£
11,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 465492 453155,453155,2016.0,£
12,96.0,1.0,Creditors amounts falling due after more than one year,more than one year 192074 266852,192074,2017.0,£
13,96.0,0.0,Creditors amounts falling due after more than one year,more than one year 192074 266852,266852,2016.0,£
14,96.0,1.0,Provisions for liabilities,Provisions for liabilities 13000 12700,13000,2017.0,£
15,96.0,0.0,Provisions for liabilities,Provisions for liabilities 13000 12700,12700,2016.0,£
16,96.0,1.0,Net assets,Net assets 260418 173603,260418,2017.0,£
17,96.0,0.0,Net assets,Net assets 260418 173603,173603,2016.0,£
18,96.0,1.0,Called up share capital,Called up share capital 52 52,52,2017.0,£
19,96.0,0.0,Called up share capital,Called up share capital 52 52,52,2016.0,£
20,96.0,1.0,Share premium account,Share premium account 49950 49950,49950,2017.0,£
21,96.0,0.0,Share premium account,Share premium account 49950 49950,49950,2016.0,£
22,95.0,1.0,Profit and loss reserves,Profit and loss reserves 210416 123601,210416,2017.0,£
23,96.0,0.0,Profit and loss reserves,Profit and loss reserves 210416 123601,123601,2016.0,£
24,96.0,1.0,Total equity,Total equity 260418 173603,260418,2017.0,£
25,96.0,0.0,Total equity,Total equity 260418 173603,173603,2016.0,£
