,conf,currYr,label,source,value,year,unit
0,95.0,1.0,Cash at bank and in hand,Cash at bank and in hand 28406 45818,28406,2018.0,£
1,95.0,0.0,Cash at bank and in hand,Cash at bank and in hand 28406 45818,45818,2017.0,£
2,96.0,1.0,Creditors amounts falling due within one year,one year 3 13548 23184,13548,2018.0,£
3,93.0,0.0,Creditors amounts falling due within one year,one year 3 13548 23184,23184,2017.0,£
4,96.0,1.0,Net current assets,Net current assets 14858 22634,14858,2018.0,£
5,96.0,0.0,Net current assets,Net current assets 14858 22634,22634,2017.0,£
6,96.0,1.0,Called up share capital,Called up share capital 4 300 300,300,2018.0,£
7,96.0,0.0,Called up share capital,Called up share capital 4 300 300,300,2017.0,£
8,95.0,1.0,Profit and loss reserves,Profit and loss reserves 14558 22334,14558,2018.0,£
9,96.0,0.0,Profit and loss reserves,Profit and loss reserves 14558 22334,22334,2017.0,£
10,96.0,1.0,Total equity,Total equity 14858 22634,14858,2018.0,£
11,96.0,0.0,Total equity,Total equity 14858 22634,22634,2017.0,£
