,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Investments,Investments 3 6199969 6199969,6199969,2018.0,£
1,96.0,0.0,Investments,Investments 3 6199969 6199969,6199969,2017.0,£
2,96.0,1.0,Called up share capital,Called up share capital 4 5469 5469,5469,2018.0,£
3,95.0,0.0,Called up share capital,Called up share capital 4 5469 5469,5469,2017.0,£
4,96.0,1.0,Profit and loss reserves,Profit and loss reserves  6194500 6194500,6194500,2018.0,£
5,96.0,0.0,Profit and loss reserves,Profit and loss reserves  6194500 6194500,6194500,2017.0,£
6,96.0,1.0,Total equity,Total equity 6199969 6199969,6199969,2018.0,£
7,96.0,0.0,Total equity,Total equity 6199969 6199969,6199969,2017.0,£
