,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Investment properties,Investment properties 2 119806 119806,119806,2017.0,£
1,96.0,0.0,Investment properties,Investment properties 2 119806 119806,119806,2016.0,£
2,96.0,1.0,Debtors,Debtors 3 2754 1343,2754,2017.0,£
3,96.0,0.0,Debtors,Debtors 3 2754 1343,1343,2016.0,£
4,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 42424 33542,42424,2017.0,£
5,94.0,0.0,Cash at bank and in hand,Cash at bank and in hand 42424 33542,33542,2016.0,£
6,96.0,1.0,Creditors amounts falling due within one year,one year 4 64526 69308,64526,2017.0,£
7,94.0,0.0,Creditors amounts falling due within one year,one year 4 64526 69308,69308,2016.0,£
8,93.0,1.0,Net current liabilities,Net current liabilities 19348 34423,19348,2017.0,£
9,96.0,0.0,Net current liabilities,Net current liabilities 19348 34423,34423,2016.0,£
10,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 100458  85383,100458,2017.0,£
11,17.0,0.0,Total assets less current liabilities,Total assets less current liabilities 100458  85383,85383,2016.0,£
12,96.0,1.0,Called up share capital,Called up share capital 5 100 100,100,2017.0,£
13,96.0,0.0,Called up share capital,Called up share capital 5 100 100,100,2016.0,£
14,95.0,1.0,Profit and loss reserves,Profit and loss reserves 100358 85283,100358,2017.0,£
15,95.0,0.0,Profit and loss reserves,Profit and loss reserves 100358 85283,85283,2016.0,£
16,96.0,1.0,Total equity,Total equity 100458 85383,100458,2017.0,£
17,96.0,0.0,Total equity,Total equity 100458 85383,85383,2016.0,£
