,conf,currYr,label,source,value,year,unit
0,92.0,1.0,CURRENT ASSETS,CURRENT ASSETS 65 5826,65,2018.0,£
1,96.0,0.0,CURRENT ASSETS,CURRENT ASSETS 65 5826,5826,2017.0,£
2,89.0,1.0,Amounts falling due within one year   NET CURRENT LIABILITIES,Amounts falling due within one year 36604 20055 NET CURRENT LIABILITIES 36539 14229,36539,2018.0,£
3,96.0,0.0,Amounts falling due within one year   NET CURRENT LIABILITIES,Amounts falling due within one year 36604 20055 NET CURRENT LIABILITIES 36539 14229,14229,2017.0,£
4,95.0,1.0,LIABILITIES,LIABILITIES 36539 14229,36539,2018.0,£
5,95.0,0.0,LIABILITIES,LIABILITIES 36539 14229,14229,2017.0,£
6,93.0,1.0,CAPITAL AND RESERVES,CAPITAL AND RESERVES 36539 14229,36539,2018.0,£
7,95.0,0.0,CAPITAL AND RESERVES,CAPITAL AND RESERVES 36539 14229,14229,2017.0,£
