,conf,currYr,label,source,value,year,unit
0,95.0,1.0,Tangible assets,Tangible assets 6 84823 46828,84823,2018.0,£
1,87.0,0.0,Tangible assets,Tangible assets 6 84823 46828,46828,2017.0,£
2,96.0,1.0,Stocks,Stocks 158786 69365,158786,2018.0,£
3,95.0,0.0,Stocks,Stocks 158786 69365,69365,2017.0,£
4,96.0,1.0,Debtors    Cash at bank and in hand,Debtors 7 168168 193610 Cash at bank and in hand 145330 137437,145330,2018.0,£
5,96.0,0.0,Debtors    Cash at bank and in hand,Debtors 7 168168 193610 Cash at bank and in hand 145330 137437,137437,2017.0,£
6,96.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 8 236150 304772,236150,2018.0,£
7,96.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 8 236150 304772,304772,2017.0,£
8,96.0,1.0,Net current assets,Net current assets 236134 95640,236134,2018.0,£
9,96.0,0.0,Net current assets,Net current assets 236134 95640,95640,2017.0,£
10,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 320957 142468,320957,2018.0,£
11,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 320957 142468,142468,2017.0,£
12,93.0,1.0,Taxation including deferred tax,Taxation including deferred tax 10383 9366,10383,2018.0,£
13,96.0,0.0,Taxation including deferred tax,Taxation including deferred tax 10383 9366,9366,2017.0,£
14,95.0,1.0,Net assets,Net assets 310574 133102,310574,2018.0,£
15,95.0,0.0,Net assets,Net assets 310574 133102,133102,2017.0,£
16,96.0,1.0,Called up share capital,Called up share capital 9 100 100,100,2018.0,£
17,96.0,0.0,Called up share capital,Called up share capital 9 100 100,100,2017.0,£
18,96.0,1.0,Statement of income and retained earnings,Statement of income and retained earnings 310474 133002,310474,2018.0,£
19,96.0,0.0,Statement of income and retained earnings,Statement of income and retained earnings 310474 133002,133002,2017.0,£
20,95.0,1.0,Members funds,Members funds 310574 133102,310574,2018.0,£
21,96.0,0.0,Members funds,Members funds 310574 133102,133102,2017.0,£
