,conf,currYr,label,source,value,year,unit
0,94.0,1.0,Tangible assets,Tangible assets 4 874 800,874,2018.0,£
1,86.0,0.0,Tangible assets,Tangible assets 4 874 800,800,2017.0,£
2,91.0,1.0,Debtors,Debtors 5 27580 24737,27580,2018.0,£
3,94.0,0.0,Debtors,Debtors 5 27580 24737,24737,2017.0,£
4,90.0,1.0,Cash at bank,Cash at bank 95094 95020,95094,2018.0,£
5,91.0,0.0,Cash at bank,Cash at bank 95094 95020,95020,2017.0,£
6,70.0,1.0,Amounts falling due within one year  NET CURRENT ASSETS,Amounts falling due within one year 6 NET CURRENT ASSETS 55807 48194 66867 71563,66867,2018.0,£
7,92.0,0.0,Amounts falling due within one year  NET CURRENT ASSETS,Amounts falling due within one year 6 NET CURRENT ASSETS 55807 48194 66867 71563,71563,2017.0,£
8,89.0,1.0,LIABILITIES None,LIABILITIES None 67741 72363,67741,2018.0,£
9,91.0,0.0,LIABILITIES None,LIABILITIES None 67741 72363,72363,2017.0,£
10,95.0,1.0,Called up share capital,Called up share capital 100 100,100,2018.0,£
11,96.0,0.0,Called up share capital,Called up share capital 100 100,100,2017.0,£
12,51.0,1.0,Retained earnings,Retained earnings 67641 72263,67641,2018.0,£
13,93.0,0.0,Retained earnings,Retained earnings 67641 72263,72263,2017.0,£
14,82.0,1.0,SHAREHOLDERS FUNDS,SHAREHOLDERS FUNDS 67741 72363,67741,2018.0,£
15,94.0,0.0,SHAREHOLDERS FUNDS,SHAREHOLDERS FUNDS 67741 72363,72363,2017.0,£
