,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Notes .,Notes . 2017 2016,2017,2017.0,£
1,96.0,0.0,Notes .,Notes . 2017 2016,2016,2016.0,£
2,89.0,1.0,Net current assets o,Net current assets o  1 1,1,2017.0,£
3,84.0,0.0,Net current assets o,Net current assets o  1 1,1,2016.0,£
4,94.0,1.0,Calledup share capital   i  .,Calledup share capital   i 3 . 1 1,1,2017.0,£
5,96.0,0.0,Calledup share capital   i  .,Calledup share capital   i 3 . 1 1,1,2016.0,£
6,95.0,1.0,Equity shareholders funds oo .,Equity shareholders funds oo . 1 1,1,2017.0,£
7,47.0,0.0,Equity shareholders funds oo .,Equity shareholders funds oo . 1 1,1,2016.0,£
