,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Current assets,Current assets 9840 8295,9840,2006.0,£
1,93.0,0.0,Current assets,Current assets 9840 8295,8295,2005.0,£
2,96.0,1.0,Creditors amounts falling due within one year,one year 7812 6429,7812,2006.0,£
3,95.0,0.0,Creditors amounts falling due within one year,one year 7812 6429,6429,2005.0,£
4,95.0,1.0,Capital and reserves,Capital and reserves 2387 1866,2387,2006.0,£
5,92.0,0.0,Capital and reserves,Capital and reserves 2387 1866,1866,2005.0,£
6,94.0,1.0,Average number of employees,Average number of employees 1 1,1,2006.0,£
7,90.0,0.0,Average number of employees,Average number of employees 1 1,1,2005.0,£
