,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Notes,Notes 2018 2017,2018,2018.0,£
1,96.0,0.0,Notes,Notes 2018 2017,2017,2017.0,£
2,96.0,1.0,Tangible assets,Tangible assets 2 715 894,715,2018.0,£
3,87.0,0.0,Tangible assets,Tangible assets 2 715 894,894,2017.0,£
4,96.0,1.0,Debtors,Debtors 3  890,3,2018.0,£
5,87.0,0.0,Debtors,Debtors 3  890,890,2017.0,£
6,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 19588 16357,19588,2018.0,£
7,96.0,0.0,Cash at bank and in hand,Cash at bank and in hand 19588 16357,16357,2017.0,£
8,96.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 4 463 509,463,2018.0,£
9,96.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 4 463 509,509,2017.0,£
10,96.0,1.0,Net current assets,Net current assets 19125 16738,19125,2018.0,£
11,95.0,0.0,Net current assets,Net current assets 19125 16738,16738,2017.0,£
12,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 19840 17632,19840,2018.0,£
13,95.0,0.0,Total assets less current liabilities,Total assets less current liabilities 19840 17632,17632,2017.0,£
14,95.0,1.0,Net assets attributable to members,Net assets attributable to members 19840 17632,19840,2018.0,£
15,77.0,0.0,Net assets attributable to members,Net assets attributable to members 19840 17632,17632,2017.0,£
16,96.0,1.0,Other reserves,Other reserves 19840 17632,19840,2018.0,£
17,96.0,0.0,Other reserves,Other reserves 19840 17632,17632,2017.0,£
18,95.0,1.0,Members other interests,Members other interests 19840 17632,19840,2018.0,£
19,96.0,0.0,Members other interests,Members other interests 19840 17632,17632,2017.0,£
