,conf,currYr,label,source,value,year,unit
0,91.0,1.0,Tangible assets,Tangible assets 3 61607 57861,61607,2018.0,£
1,96.0,0.0,Tangible assets,Tangible assets 3 61607 57861,57861,2017.0,£
2,96.0,1.0,Debtors,Debtors 4 1007268 1474220,1007268,2018.0,£
3,95.0,0.0,Debtors,Debtors 4 1007268 1474220,1474220,2017.0,£
4,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 760478 259663,760478,2018.0,£
5,96.0,0.0,Cash at bank and in hand,Cash at bank and in hand 760478 259663,259663,2017.0,£
6,96.0,1.0,Creditors amounts falling due within one year,one year 5 749792 651626,749792,2018.0,£
7,96.0,0.0,Creditors amounts falling due within one year,one year 5 749792 651626,651626,2017.0,£
8,95.0,1.0,Net current assets,Net current assets 1017954 1082257,1017954,2018.0,£
9,95.0,0.0,Net current assets,Net current assets 1017954 1082257,1082257,2017.0,£
10,95.0,1.0,Total assets less current liabilities,Total assets less current liabilities 1079561 1140118,1079561,2018.0,£
11,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 1079561 1140118,1140118,2017.0,£
12,96.0,1.0,Provisions for liabilities,Provisions for liabilities 10289 9754,10289,2018.0,£
13,96.0,0.0,Provisions for liabilities,Provisions for liabilities 10289 9754,9754,2017.0,£
14,96.0,1.0,Net assets,Net assets 1069272 1130364,1069272,2018.0,£
15,96.0,0.0,Net assets,Net assets 1069272 1130364,1130364,2017.0,£
16,94.0,1.0,Called up share capital,Called up share capital 6 714 714,714,2018.0,£
17,95.0,0.0,Called up share capital,Called up share capital 6 714 714,714,2017.0,£
18,96.0,1.0,Capital redemption reserve,Capital redemption reserve 286 286,286,2018.0,£
19,96.0,0.0,Capital redemption reserve,Capital redemption reserve 286 286,286,2017.0,£
20,96.0,1.0,Profit and loss reserves,Profit and loss reserves 1068272 1129364,1068272,2018.0,£
21,95.0,0.0,Profit and loss reserves,Profit and loss reserves 1068272 1129364,1129364,2017.0,£
22,96.0,1.0,Total equity,Total equity 1069272 1130364,1069272,2018.0,£
23,96.0,0.0,Total equity,Total equity 1069272 1130364,1130364,2017.0,£
