,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 5 463974,5,2018.0,£
1,96.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 5 463974,463974,2017.0,£
0,96.0,1.0,Statement of comprehensive income for the year ended  March,Statement of comprehensive income for the year ended 31 March 2018 3,2018,2018.0,£
1,96.0,0.0,Statement of comprehensive income for the year ended  March,Statement of comprehensive income for the year ended 31 March 2018 3,3,2017.0,£
