,conf,currYr,label,source,value,year,unit
0,93.0,1.0,Intangible assets,Intangible assets 3 2067 2398,2067,2018.0,£
1,96.0,0.0,Intangible assets,Intangible assets 3 2067 2398,2398,2017.0,£
2,96.0,1.0,Tangible assets,Tangible assets 4  397 537,397,2018.0,£
3,96.0,0.0,Tangible assets,Tangible assets 4  397 537,537,2017.0,£
4,96.0,1.0,Creditors amounts falling due within one year,one year 5 840 840,840,2018.0,£
5,96.0,0.0,Creditors amounts falling due within one year,one year 5 840 840,840,2017.0,£
6,64.0,1.0,Net current liabilities,Net current liabilities 840 840,840,2018.0,£
7,96.0,0.0,Net current liabilities,Net current liabilities 840 840,840,2017.0,£
8,95.0,1.0,Total assets less current liabilities,Total assets less current liabilities 1624 2095,1624,2018.0,£
9,95.0,0.0,Total assets less current liabilities,Total assets less current liabilities 1624 2095,2095,2017.0,£
10,96.0,1.0,Amounts due in respect of profits,Amounts due in respect of profits 34739 13207,34739,2018.0,£
11,95.0,0.0,Amounts due in respect of profits,Amounts due in respect of profits 34739 13207,13207,2017.0,£
12,94.0,1.0,Other amounts,Other amounts 33115 11112,33115,2018.0,£
13,94.0,0.0,Other amounts,Other amounts 33115 11112,11112,2017.0,£
14,96.0,1.0,Loans and other debts due to members,Loans and other debts due to members 1624 2095,1624,2018.0,£
15,96.0,0.0,Loans and other debts due to members,Loans and other debts due to members 1624 2095,2095,2017.0,£
