,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Notes,Notes 2017 2016,2017,2017.0,£
1,96.0,0.0,Notes,Notes 2017 2016,2016,2016.0,£
2,96.0,1.0,Tangible assets,Tangible assets 260000 260000,260000,2017.0,£
3,96.0,0.0,Tangible assets,Tangible assets 260000 260000,260000,2016.0,£
4,96.0,1.0,Creditors amounts falling due within one year,within one year 140976 140538,140976,2017.0,£
5,96.0,0.0,Creditors amounts falling due within one year,within one year 140976 140538,140538,2016.0,£
6,96.0,1.0,Net current liabilities,Net current liabilities 140976 140538,140976,2017.0,£
7,96.0,0.0,Net current liabilities,Net current liabilities 140976 140538,140538,2016.0,£
8,96.0,1.0,Total assets less current liabilities,liabilities 119024 119462,119024,2017.0,£
9,96.0,0.0,Total assets less current liabilities,liabilities 119024 119462,119462,2016.0,£
10,96.0,1.0,Creditors amounts falling due after more than one year,after more than one year 130000 130000,130000,2017.0,£
11,95.0,0.0,Creditors amounts falling due after more than one year,after more than one year 130000 130000,130000,2016.0,£
12,96.0,1.0,Net liabilities,Net liabilities 10976 10538,10976,2017.0,£
13,96.0,0.0,Net liabilities,Net liabilities 10976 10538,10538,2016.0,£
14,96.0,1.0,Called up share capital,Called up share capital 2 2,2,2017.0,£
15,96.0,0.0,Called up share capital,Called up share capital 2 2,2,2016.0,£
16,96.0,1.0,Profit and loss account,Profit and loss account 10978 10540,10978,2017.0,£
17,96.0,0.0,Profit and loss account,Profit and loss account 10978 10540,10540,2016.0,£
18,95.0,1.0,Shareholders funds,Shareholders funds 10976 10538,10976,2017.0,£
19,96.0,0.0,Shareholders funds,Shareholders funds 10976 10538,10538,2016.0,£
