,conf,currYr,label,source,value,year,unit
0,92.0,1.0,Investments,Investments 5 5034 5034,5034,2017.0,£
1,95.0,0.0,Investments,Investments 5 5034 5034,5034,2016.0,£
2,27.0,1.0,Total noncurrent assets,Total noncurrent assets  5034 5034,5034,2017.0,£
3,96.0,0.0,Total noncurrent assets,Total noncurrent assets  5034 5034,5034,2016.0,£
4,96.0,1.0,Trade and other receivables,Trade and other receivables  6 6631561 6630085,6631561,2017.0,£
5,96.0,0.0,Trade and other receivables,Trade and other receivables  6 6631561 6630085,6630085,2016.0,£
6,95.0,1.0,Total current assets,Total current assets 6696601 6632536,6696601,2017.0,£
7,96.0,0.0,Total current assets,Total current assets 6696601 6632536,6632536,2016.0,£
8,96.0,1.0,Total assets,Total assets 6701635 6637570,6701635,2017.0,£
9,94.0,0.0,Total assets,Total assets 6701635 6637570,6637570,2016.0,£
10,96.0,1.0,Total liabilities,Total liabilities 6695186 6631121,6695186,2017.0,£
11,96.0,0.0,Total liabilities,Total liabilities 6695186 6631121,6631121,2016.0,£
12,96.0,1.0,Members capital,Members capital 7 6449 6449,6449,2017.0,£
13,96.0,0.0,Members capital,Members capital 7 6449 6449,6449,2016.0,£
14,96.0,1.0,Total members equity .,Total members equity . 6449 6449,6449,2017.0,£
15,96.0,0.0,Total members equity .,Total members equity . 6449 6449,6449,2016.0,£
16,96.0,1.0,Total equity and liabilities,Total equity and liabilities 6701635 6637570,6701635,2017.0,£
17,95.0,0.0,Total equity and liabilities,Total equity and liabilities 6701635 6637570,6637570,2016.0,£
18,95.0,1.0,Members capital classified as equity,Members capital classified as equity 7 6449 6449,6449,2017.0,£
19,95.0,0.0,Members capital classified as equity,Members capital classified as equity 7 6449 6449,6449,2016.0,£
20,96.0,1.0,Amounts due to members,Amounts due to members 7 240412 635371,240412,2017.0,£
21,96.0,0.0,Amounts due to members,Amounts due to members 7 240412 635371,635371,2016.0,£
