,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Tangible assets,Tangible assets 10 1223716 1243271,1223716,2018.0,£
1,96.0,0.0,Tangible assets,Tangible assets 10 1223716 1243271,1243271,2017.0,£
2,96.0,1.0,Investments,Investments 41 133058 131434,133058,2018.0,£
3,96.0,0.0,Investments,Investments 41 133058 131434,131434,2017.0,£
4,95.0,1.0,Debtors,Debtors 12 43548 30244,43548,2018.0,£
5,96.0,0.0,Debtors,Debtors 12 43548 30244,30244,2017.0,£
6,96.0,1.0,Investments,Investments 13 33957 33957,33957,2018.0,£
7,96.0,0.0,Investments,Investments 13 33957 33957,33957,2017.0,£
8,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 25295 70852,25295,2018.0,£
9,96.0,0.0,Cash at bank and in hand,Cash at bank and in hand 25295 70852,70852,2017.0,£
10,96.0,1.0,CREDITORS amounts falling due within one year,one year 14 172723 128829,172723,2018.0,£
11,96.0,0.0,CREDITORS amounts falling due within one year,one year 14 172723 128829,128829,2017.0,£
12,96.0,1.0,NET CURRENT LIABILITIESASSETS,NET CURRENT LIABILITIESASSETS 69923 6224,69923,2018.0,£
13,96.0,0.0,NET CURRENT LIABILITIESASSETS,NET CURRENT LIABILITIESASSETS 69923 6224,6224,2017.0,£
14,96.0,1.0,NET ASSETS,NET ASSETS 1286851 1380929,1286851,2018.0,£
15,96.0,0.0,NET ASSETS,NET ASSETS 1286851 1380929,1380929,2017.0,£
16,96.0,1.0,Restricted funds,Restricted funds 15 111524 66673,111524,2018.0,£
17,96.0,0.0,Restricted funds,Restricted funds 15 111524 66673,66673,2017.0,£
18,96.0,1.0,Unrestricted funds,Unrestricted funds 15 1175327 1314256,1175327,2018.0,£
19,96.0,0.0,Unrestricted funds,Unrestricted funds 15 1175327 1314256,1314256,2017.0,£
20,96.0,1.0,TOTAL FUNDS,TOTAL FUNDS 1286851 1380929,1286851,2018.0,£
21,96.0,0.0,TOTAL FUNDS,TOTAL FUNDS 1286851 1380929,1380929,2017.0,£
0,95.0,1.0,Donations and legacies Charitable activities Investments Wt Mm,Donations and legacies Charitable activities Investments Wt Mm 48174 3100 51274 943801 943801 58112 1014069 1371,1014069,2018.0,£
1,96.0,0.0,Donations and legacies Charitable activities Investments Wt Mm,Donations and legacies Charitable activities Investments Wt Mm 48174 3100 51274 943801 943801 58112 1014069 1371,1371,2017.0,£
2,95.0,1.0,TOTAL INCOME,TOTAL INCOME 48174 946901 995075 1073552,995075,2018.0,£
3,96.0,0.0,TOTAL INCOME,TOTAL INCOME 48174 946901 995075 1073552,1073552,2017.0,£
4,95.0,1.0,Raising funds,Raising funds 16135 16135 17184,16135,2018.0,£
5,96.0,0.0,Raising funds,Raising funds 16135 16135 17184,17184,2017.0,£
6,96.0,1.0,Charitable activities,Charitable activities 3323 1071319 1074642 1080574,1074642,2018.0,£
7,96.0,0.0,Charitable activities,Charitable activities 3323 1071319 1074642 1080574,1080574,2017.0,£
8,96.0,1.0,TOTAL EXPENDITURE,TOTAL EXPENDITURE 3323 1087454 1090777 1097758,1090777,2018.0,£
9,95.0,0.0,TOTAL EXPENDITURE,TOTAL EXPENDITURE 3323 1087454 1090777 1097758,1097758,2017.0,£
10,96.0,1.0,NET BEFORE INVESTMENT GAINS,NET BEFORE INVESTMENT GAINS 44851 140553 95702 24206,95702,2018.0,£
11,96.0,0.0,NET BEFORE INVESTMENT GAINS,NET BEFORE INVESTMENT GAINS 44851 140553 95702 24206,24206,2017.0,£
12,96.0,1.0,Net gains on investments,Net gains on investments 11 1624 1624 20638,1624,2018.0,£
13,95.0,0.0,Net gains on investments,Net gains on investments 11 1624 1624 20638,20638,2017.0,£
14,96.0,1.0,LOSSES,LOSSES 44851 138929 94078 3568,94078,2018.0,£
15,95.0,0.0,LOSSES,LOSSES 44851 138929 94078 3568,3568,2017.0,£
16,95.0,1.0,Gains on revaluations of fixed assets,Gains on revaluations of fixed assets 10 302527,10,2018.0,£
17,96.0,0.0,Gains on revaluations of fixed assets,Gains on revaluations of fixed assets 10 302527,302527,2017.0,£
18,96.0,1.0,NET MOVEMENT IN FUNDS,NET MOVEMENT IN FUNDS 44851 138929 94078 298959,94078,2018.0,£
19,96.0,0.0,NET MOVEMENT IN FUNDS,NET MOVEMENT IN FUNDS 44851 138929 94078 298959,298959,2017.0,£
20,96.0,1.0,Total funds brought forward,Total funds brought forward 66673 1314256 1380929 1081970,1380929,2018.0,£
21,74.0,0.0,Total funds brought forward,Total funds brought forward 66673 1314256 1380929 1081970,1081970,2017.0,£
22,96.0,1.0,TOTAL FUNDS CARRIED FORWARD,TOTAL FUNDS CARRIED FORWARD 111524 1175327 1286851 1380929,1286851,2018.0,£
23,95.0,0.0,TOTAL FUNDS CARRIED FORWARD,TOTAL FUNDS CARRIED FORWARD 111524 1175327 1286851 1380929,1380929,2017.0,£
