,conf,currYr,label,source,value,year,unit
0,27.0,1.0,Note,Note 000 000,000,2017.0,£1
1,46.0,0.0,Note,Note 000 000,000,2016.0,£1
2,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 1 1,1,2017.0,£1
3,96.0,0.0,Cash at bank and in hand,Cash at bank and in hand 1 1,1,2016.0,£1
4,96.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 2 1 1,1,2017.0,£1
5,96.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 2 1 1,1,2016.0,£1
