,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Tangible assets,Tangible assets 12900 17200,12900,2018.0,£
1,96.0,0.0,Tangible assets,Tangible assets 12900 17200,17200,2017.0,£
2,96.0,1.0,Debtors,Debtors 143441 162081,143441,2018.0,£
3,90.0,0.0,Debtors,Debtors 143441 162081,162081,2017.0,£
4,95.0,1.0,Cash at bank and in hand,Cash at bank and in hand 299518 143167,299518,2018.0,£
5,96.0,0.0,Cash at bank and in hand,Cash at bank and in hand 299518 143167,143167,2017.0,£
6,96.0,1.0,Creditors amounts falling due within one year,one year 215626 154091,215626,2018.0,£
7,96.0,0.0,Creditors amounts falling due within one year,one year 215626 154091,154091,2017.0,£
8,96.0,1.0,Net current assets,Net current assets 227333 151157,227333,2018.0,£
9,88.0,0.0,Net current assets,Net current assets 227333 151157,151157,2017.0,£
10,95.0,1.0,Total assets less current liabilities,Total assets less current liabilities 240233 168357,240233,2018.0,£
11,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 240233 168357,168357,2017.0,£
12,89.0,1.0,Profit and loss reserves,Profit and loss reserves 240232 168356,240232,2018.0,£
13,96.0,0.0,Profit and loss reserves,Profit and loss reserves 240232 168356,168356,2017.0,£
14,95.0,1.0,Total equity,Total equity 240233 168357,240233,2018.0,£
15,96.0,0.0,Total equity,Total equity 240233 168357,168357,2017.0,£
