,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Tangible assets,Tangible assets 5 3000 3000,3000,2017.0,£
1,96.0,0.0,Tangible assets,Tangible assets 5 3000 3000,3000,2016.0,£
2,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 403 403,403,2017.0,£
3,95.0,0.0,Cash at bank and in hand,Cash at bank and in hand 403 403,403,2016.0,£
4,96.0,1.0,Net current assets,Net current assets 403 403,403,2017.0,£
5,96.0,0.0,Net current assets,Net current assets 403 403,403,2016.0,£
6,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 3403 3403,3403,2017.0,£
7,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 3403 3403,3403,2016.0,£
8,96.0,1.0,Net assets,Net assets 3403 3403,3403,2017.0,£
9,96.0,0.0,Net assets,Net assets 3403 3403,3403,2016.0,£
10,96.0,1.0,Profitand loss account.,Profitand loss account. 3403 3403,3403,2017.0,£
11,95.0,0.0,Profitand loss account.,Profitand loss account. 3403 3403,3403,2016.0,£
12,96.0,1.0,Members funds,Members funds 3403 3403,3403,2017.0,£
13,96.0,0.0,Members funds,Members funds 3403 3403,3403,2016.0,£
