,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 3 3,3,2018.0,£
1,96.0,0.0,Cash at bank and in hand,Cash at bank and in hand 3 3,3,2017.0,£
2,96.0,1.0,Ordinary Shares of  . each,15 Ordinary Shares of  0.20 each 3 3,3,2018.0,£
3,96.0,0.0,Ordinary Shares of  . each,15 Ordinary Shares of  0.20 each 3 3,3,2017.0,£
4,96.0,1.0,Total Shareholder funds,Total Shareholder funds 3 3,3,2018.0,£
5,96.0,0.0,Total Shareholder funds,Total Shareholder funds 3 3,3,2017.0,£
