,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Fixed assets fnavestments,fnavestments 9 895000 895000,895000,2017.0,£0.01
1,95.0,0.0,Fixed assets fnavestments,fnavestments 9 895000 895000,895000,2016.0,£0.01
2,96.0,1.0,Debtors amounts falling due within ane year,Debtors amounts falling due within ane year 16 47044 37921,47044,2017.0,£0.01
3,89.0,0.0,Debtors amounts falling due within ane year,Debtors amounts falling due within ane year 16 47044 37921,37921,2016.0,£0.01
4,95.0,1.0,Net current assets,Net current assets 47044 37453,47044,2017.0,£0.01
5,95.0,0.0,Net current assets,Net current assets 47044 37453,37453,2016.0,£0.01
6,96.0,1.0,Creditors amounts falling due after more than one year,than one year 12 3563 3563,3563,2017.0,£0.01
7,77.0,0.0,Creditors amounts falling due after more than one year,than one year 12 3563 3563,3563,2016.0,£0.01
8,96.0,1.0,Net assets,Net assets 938481 928890,938481,2017.0,£0.01
9,80.0,0.0,Net assets,Net assets 938481 928890,928890,2016.0,£0.01
10,96.0,1.0,Share premium account,Share premium account 14 1825624 1825624,1825624,2017.0,£0.01
11,96.0,0.0,Share premium account,Share premium account 14 1825624 1825624,1825624,2016.0,£0.01
12,89.0,1.0,Profit and loss account,Profit and loss account 14 887143 896734,887143,2017.0,£0.01
13,90.0,0.0,Profit and loss account,Profit and loss account 14 887143 896734,896734,2016.0,£0.01
14,95.0,1.0,Total shareholders funds,Total shareholders funds 938481 928890,938481,2017.0,£0.01
15,95.0,0.0,Total shareholders funds,Total shareholders funds 938481 928890,928890,2016.0,£0.01
