,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Investments,Investments 2 3 3,3,2018.0,£
1,96.0,0.0,Investments,Investments 2 3 3,3,2017.0,£
2,97.0,1.0,Debtors,Debtors 3 2 2,2,2018.0,£
3,96.0,0.0,Debtors,Debtors 3 2 2,2,2017.0,£
4,68.0,1.0,Net current assets,Net current assets 1 1,1,2018.0,£
5,93.0,0.0,Net current assets,Net current assets 1 1,1,2017.0,£
6,96.0,1.0,Net assets,Net assets 4 4,4,2018.0,£
7,96.0,0.0,Net assets,Net assets 4 4,4,2017.0,£
8,96.0,1.0,Called up share capital,Called up share capital 5 4 4,4,2018.0,£
9,96.0,0.0,Called up share capital,Called up share capital 5 4 4,4,2017.0,£
10,96.0,1.0,Shareholders funds,Shareholders funds 4 4,4,2018.0,£
11,96.0,0.0,Shareholders funds,Shareholders funds 4 4,4,2017.0,£
