,conf,currYr,label,source,value,year,unit
0,88.0,1.0,Fixed assets,Fixed assets 866 1155,866,2017.0,£
1,96.0,0.0,Fixed assets,Fixed assets 866 1155,1155,2016.0,£
2,96.0,1.0,Current assets,Current assets 47265 68606,47265,2017.0,£
3,96.0,0.0,Current assets,Current assets 47265 68606,68606,2016.0,£
4,96.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 20244 18275,20244,2017.0,£
5,96.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 20244 18275,18275,2016.0,£
6,95.0,1.0,Net current assets,Net current assets 27021 50331,27021,2017.0,£
7,95.0,0.0,Net current assets,Net current assets 27021 50331,50331,2016.0,£
8,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 27887 51486,27887,2017.0,£
9,93.0,0.0,Total assets less current liabilities,Total assets less current liabilities 27887 51486,51486,2016.0,£
10,95.0,1.0,Accruals and deferred income,Accruals and deferred income 1760 18677,1760,2017.0,£
11,96.0,0.0,Accruals and deferred income,Accruals and deferred income 1760 18677,18677,2016.0,£
12,96.0,1.0,Capital and reserves,Capital and reserves 26127 32809,26127,2017.0,£
13,96.0,0.0,Capital and reserves,Capital and reserves 26127 32809,32809,2016.0,£
