,conf,currYr,label,source,value,year,unit
0,95.0,1.0,Current assets,Current assets 29269 22829,29269,2018.0,£
1,96.0,0.0,Current assets,Current assets 29269 22829,22829,2017.0,£
2,96.0,1.0,Prepayments and accrued income,Prepayments and accrued income 2313 2045,2313,2018.0,£
3,96.0,0.0,Prepayments and accrued income,Prepayments and accrued income 2313 2045,2045,2017.0,£
4,96.0,1.0,Creditors Amounts falling due within one year,Creditors Amounts falling due within one year 5037 4809,5037,2018.0,£
5,89.0,0.0,Creditors Amounts falling due within one year,Creditors Amounts falling due within one year 5037 4809,4809,2017.0,£
6,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 26545 20065,26545,2018.0,£
7,95.0,0.0,Total assets less current liabilities,Total assets less current liabilities 26545 20065,20065,2017.0,£
8,96.0,1.0,Accruals and deferred income,Accruals and deferred income 737 421,737,2018.0,£
9,96.0,0.0,Accruals and deferred income,Accruals and deferred income 737 421,421,2017.0,£
10,95.0,1.0,Capital and reserves,Capital and reserves 25808 19644,25808,2018.0,£
11,73.0,0.0,Capital and reserves,Capital and reserves 25808 19644,19644,2017.0,£
