,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Fixed assets  .,Fixed assets  .  89837 98146,89837,2018.0,£
1,96.0,0.0,Fixed assets  .,Fixed assets  .  89837 98146,98146,2017.0,£
2,96.0,1.0,Current assets,Current assets 183159 23592,183159,2018.0,£
3,37.0,0.0,Current assets,Current assets 183159 23592,23592,2017.0,£
4,96.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 151 990 17648,990,2018.0,£
5,83.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 151 990 17648,17648,2017.0,£
6,94.0,1.0,Net current assets.,Net current assets. 31169 5944,31169,2018.0,£
7,96.0,0.0,Net current assets.,Net current assets. 31169 5944,5944,2017.0,£
8,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 121006 104090,121006,2018.0,£
9,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 121006 104090,104090,2017.0,£
10,96.0,1.0,Creditors amounts falling due after more than one year,Creditors amounts falling due after more than one year 44001 63699,44001,2018.0,£
11,96.0,0.0,Creditors amounts falling due after more than one year,Creditors amounts falling due after more than one year 44001 63699,63699,2017.0,£
12,96.0,1.0,Net assets,Net assets 77005 40391,77005,2018.0,£
13,96.0,0.0,Net assets,Net assets 77005 40391,40391,2017.0,£
14,96.0,1.0,Capital and reserves,Capital and reserves 77005 40391,77005,2018.0,£
15,95.0,0.0,Capital and reserves,Capital and reserves 77005 40391,40391,2017.0,£
