,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Tangible assets,Tangible assets 5 12568 16071,12568,2017.0,£
1,95.0,0.0,Tangible assets,Tangible assets 5 12568 16071,16071,2016.0,£
2,96.0,1.0,Stocks,Stocks 15150 15150,15150,2017.0,£
3,96.0,0.0,Stocks,Stocks 15150 15150,15150,2016.0,£
4,96.0,1.0,Debtors,Debtors 6 871426 823924,871426,2017.0,£
5,96.0,0.0,Debtors,Debtors 6 871426 823924,823924,2016.0,£
6,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 62560 71110,62560,2017.0,£
7,96.0,0.0,Cash at bank and in hand,Cash at bank and in hand 62560 71110,71110,2016.0,£
8,95.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 7 57890 57358,57890,2017.0,£
9,96.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 7 57890 57358,57358,2016.0,£
10,92.0,1.0,Net current assets,Net current assets 891246 852826,891246,2017.0,£
11,96.0,0.0,Net current assets,Net current assets 891246 852826,852826,2016.0,£
12,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 903814 868897,903814,2017.0,£
13,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 903814 868897,868897,2016.0,£
14,96.0,1.0,Taxation including deferred tax,Taxation including deferred tax 653 197,653,2017.0,£
15,96.0,0.0,Taxation including deferred tax,Taxation including deferred tax 653 197,197,2016.0,£
16,96.0,1.0,Net assets,Net assets 904467 869094,904467,2017.0,£
17,96.0,0.0,Net assets,Net assets 904467 869094,869094,2016.0,£
18,96.0,1.0,Called up share capital,Called up share capital 9 4102 4102,4102,2017.0,£
19,96.0,0.0,Called up share capital,Called up share capital 9 4102 4102,4102,2016.0,£
20,96.0,1.0,Profit and loss account,Profit and loss account 900365 864992,900365,2017.0,£
21,95.0,0.0,Profit and loss account,Profit and loss account 900365 864992,864992,2016.0,£
22,95.0,1.0,Shareholders funds,Shareholders funds 904467 869094,904467,2017.0,£
23,96.0,0.0,Shareholders funds,Shareholders funds 904467 869094,869094,2016.0,£
