,conf,currYr,label,source,value,year,unit
0,95.0,1.0,Tangible assets,Tangible assets 4 762,4,2018.0,£
1,96.0,0.0,Tangible assets,Tangible assets 4 762,762,2017.0,£
2,95.0,1.0,Debtors amounts falling due within one year,Debtors amounts falling due within one year 5 128565,5,2018.0,£
3,96.0,0.0,Debtors amounts falling due within one year,Debtors amounts falling due within one year 5 128565,128565,2017.0,£
4,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 8 93126,8,2018.0,£
5,74.0,0.0,Cash at bank and in hand,Cash at bank and in hand 8 93126,93126,2017.0,£
6,89.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 7 181292,7,2018.0,£
7,94.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 7 181292,181292,2017.0,£
8,91.0,1.0,Deferred tax,Deferred tax 8 145,8,2018.0,£
9,96.0,0.0,Deferred tax,Deferred tax 8 145,145,2017.0,£
10,96.0,1.0,Called up share capital,Called up share capital 9 2,9,2018.0,£
11,94.0,0.0,Called up share capital,Called up share capital 9 2,2,2017.0,£
