,conf,currYr,label,source,value,year,unit
0,94.0,1.0,Investments,Investments 15 3224658 3224658,3224658,2017.0,£
1,93.0,0.0,Investments,Investments 15 3224658 3224658,3224658,2016.0,£
2,96.0,1.0,Debtors,Debtors 17 1250673 1213471,1250673,2017.0,£
3,96.0,0.0,Debtors,Debtors 17 1250673 1213471,1213471,2016.0,£
4,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 36 7,36,2017.0,£
5,96.0,0.0,Cash at bank and in hand,Cash at bank and in hand 36 7,7,2016.0,£
6,95.0,1.0,Net current assets,Net current assets 1211952 1213478,1211952,2017.0,£
7,95.0,0.0,Net current assets,Net current assets 1211952 1213478,1213478,2016.0,£
8,95.0,1.0,Net assets,Net assets 4436610 4438136,4436610,2017.0,£
9,96.0,0.0,Net assets,Net assets 4436610 4438136,4438136,2016.0,£
10,96.0,1.0,Called up share capital,Called up share capital 10000 10000,10000,2017.0,£
11,96.0,0.0,Called up share capital,Called up share capital 10000 10000,10000,2016.0,£
12,93.0,1.0,Share premium reserve,Share premium reserve 3214657 3214657,3214657,2017.0,£
13,96.0,0.0,Share premium reserve,Share premium reserve 3214657 3214657,3214657,2016.0,£
14,95.0,1.0,Profit and loss account,Profit and loss account 1211953 1213479,1211953,2017.0,£
15,96.0,0.0,Profit and loss account,Profit and loss account 1211953 1213479,1213479,2016.0,£
16,92.0,1.0,Total equity,Total equity 4436610 4438136,4436610,2017.0,£
17,95.0,0.0,Total equity,Total equity 4436610 4438136,4438136,2016.0,£
