,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Fixed assets,Fixed assets 935 1247,935,2018.0,£
1,96.0,0.0,Fixed assets,Fixed assets 935 1247,1247,2017.0,£
2,96.0,1.0,Current assets,Current assets 67578 88473,67578,2018.0,£
3,95.0,0.0,Current assets,Current assets 67578 88473,88473,2017.0,£
4,96.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 17798 23547,17798,2018.0,£
5,96.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 17798 23547,23547,2017.0,£
6,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 50715 66173,50715,2018.0,£
7,95.0,0.0,Total assets less current liabilities,Total assets less current liabilities 50715 66173,66173,2017.0,£
8,96.0,1.0,Accruals and deferred income,Accruals and deferred income 458 1339,458,2018.0,£
9,96.0,0.0,Accruals and deferred income,Accruals and deferred income 458 1339,1339,2017.0,£
10,94.0,1.0,Net assets,Net assets 50257 64834,50257,2018.0,£
11,96.0,0.0,Net assets,Net assets 50257 64834,64834,2017.0,£
12,96.0,1.0,Capital and reserves,Capital and reserves 50257 64834,50257,2018.0,£
13,95.0,0.0,Capital and reserves,Capital and reserves 50257 64834,64834,2017.0,£
14,96.0,1.0,Rohit Bajaj,Rohit Bajaj 6189 661 6189 661,6189,2018.0,£
15,95.0,0.0,Rohit Bajaj,Rohit Bajaj 6189 661 6189 661,661,2017.0,£
16,93.0,1.0,Rohit Bajaj,Rohit Bajaj 8137 1948 6189,1948,2018.0,£
17,96.0,0.0,Rohit Bajaj,Rohit Bajaj 8137 1948 6189,6189,2017.0,£
