,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Current assets,Current assets 3318 4057,3318,2018.0,£
1,95.0,0.0,Current assets,Current assets 3318 4057,4057,2017.0,£
2,56.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year  2826  3334,2826,2018.0,£
3,30.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year  2826  3334,3334,2017.0,£
4,95.0,1.0,Net current assets liabilities,Net current assets liabilities 492 723,492,2018.0,£
5,96.0,0.0,Net current assets liabilities,Net current assets liabilities 492 723,723,2017.0,£
6,95.0,1.0,Total assets less current liabilities,Total assets less current liabilities 492 723,492,2018.0,£
7,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 492 723,723,2017.0,£
8,91.0,1.0,Total net assets liabilities,Total net assets liabilities 492 723,492,2018.0,£
9,96.0,0.0,Total net assets liabilities,Total net assets liabilities 492 723,723,2017.0,£
10,92.0,1.0,Capital and reserves,Capital and reserves 492 723,492,2018.0,£
11,96.0,0.0,Capital and reserves,Capital and reserves 492 723,723,2017.0,£
