,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Current assets,Current assets 954 1849,954,2017.0,£
1,96.0,0.0,Current assets,Current assets 954 1849,1849,2016.0,£
2,96.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 99247 99401,99247,2017.0,£
3,93.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 99247 99401,99401,2016.0,£
4,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 98293 97552,98293,2017.0,£
5,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 98293 97552,97552,2016.0,£
6,96.0,1.0,Accruals and deferred income,Accruals and deferred income 750 1750,750,2017.0,£
7,95.0,0.0,Accruals and deferred income,Accruals and deferred income 750 1750,1750,2016.0,£
8,96.0,1.0,Net liabilities,Net liabilities 99043 99302,99043,2017.0,£
9,96.0,0.0,Net liabilities,Net liabilities 99043 99302,99302,2016.0,£
10,96.0,1.0,Capital and reserves,Capital and reserves 99043 99302,99043,2017.0,£
11,96.0,0.0,Capital and reserves,Capital and reserves 99043 99302,99302,2016.0,£
